|id |plate_number|arabic_number|adr|box                                                                                |plate_image                                                       |frame_image                                               |analytics_id|make_model_id|vehicle_type|created_at             |color_id|direction|country|pattern  |client_id|latitude |longitude|
|---|------------|-------------|---|-----------------------------------------------------------------------------------|------------------------------------------------------------------|----------------------------------------------------------|------------|-------------|------------|-----------------------|--------|---------|-------|---------|---------|---------|---------|
|1  |CBC6822     |             |   |[0.6041666865348816,0.3434210419654846,0.6674107313156128,0.3769736886024475]      |analytics/plates/3/2025/12/17/22/CBC6822_1766011538212_cropped.jpg|analytics/plates/3/2025/12/17/22/CBC6822_1766011538212.jpg|3           |207,139      |1           |2025-12-17 22:45:38.215|15      |312      |EC     |ECUADOR-1|0        |0        |0        |
|2  |GBJ2C00     |             |   |[0.5729166865348816,0.29539474844932556,0.6220238208770752,0.32039472460746765]    |analytics/plates/3/2025/12/17/22/GBJ2C00_1766011540647_cropped.jpg|analytics/plates/3/2025/12/17/22/GBJ2C00_1766011540647.jpg|3           |200,193      |5           |2025-12-17 22:45:40.649|5       |312      |BR     |BRAZIL-1 |0        |0        |0        |
|3  |EPI5E14     |             |   |[0.7165178656578064,0.6684210300445557,0.793154776096344,0.7111842036247253]       |analytics/plates/3/2025/12/17/22/EPI5E14_1766011562463_cropped.jpg|analytics/plates/3/2025/12/17/22/EPI5E14_1766011562463.jpg|3           |200,038      |4           |2025-12-17 22:46:02.465|1       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|4  |CES3625     |             |   |[0.6309523582458496,0.2684210538864136,0.675967276096344,0.29078948497772217]      |analytics/plates/3/2025/12/17/22/CES3625_1766011592875_cropped.jpg|analytics/plates/3/2025/12/17/22/CES3625_1766011592875.jpg|3           |200,003      |7           |2025-12-17 22:46:32.877|1       |306      |EC     |ECUADOR-1|0        |0        |0        |
|5  |OWC2D00     |             |   |[0.5643601417541504,0.2677631676197052,0.6101190447807312,0.2927631437778473]      |analytics/plates/3/2025/12/17/22/OWC2D00_1766011596132_cropped.jpg|analytics/plates/3/2025/12/17/22/OWC2D00_1766011596132.jpg|3           |200,003      |7           |2025-12-17 22:46:36.134|1       |305      |BR     |BRAZIL-1 |0        |0        |0        |
|6  |DTD4393     |             |   |[0.6614583134651184,0.22039473056793213,0.7057291865348816,0.2453947365283966]     |analytics/plates/3/2025/12/17/22/DTD4393_1766011634103_cropped.jpg|analytics/plates/3/2025/12/17/22/DTD4393_1766011634103.jpg|3           |200,003      |7           |2025-12-17 22:47:14.105|1       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|7  |TDD2F37     |             |   |[0.5539434552192688,0.11513157933950424,0.5907738208770752,0.1342105269432068]     |analytics/plates/3/2025/12/17/22/TDD2F37_1766011639366_cropped.jpg|analytics/plates/3/2025/12/17/22/TDD2F37_1766011639366.jpg|3           |200,003      |7           |2025-12-17 22:47:19.368|1       |301      |BR     |BRAZIL-1 |0        |0        |0        |
|8  |TKE7127     |             |   |[0.5881696343421936,0.18223683536052704,0.6346726417541504,0.20460526645183563]    |analytics/plates/3/2025/12/17/22/TKE7127_1766011658643_cropped.jpg|analytics/plates/3/2025/12/17/22/TKE7127_1766011658643.jpg|3           |200,237      |7           |2025-12-17 22:47:38.645|1       |304      |BR     |BRAZIL-1 |0        |0        |0        |
|9  |GDG9A61     |             |   |[0.570684552192688,0.11249999701976776,0.609375,0.1473684161901474]                |analytics/plates/3/2025/12/17/22/GDG9A61_1766011706008_cropped.jpg|analytics/plates/3/2025/12/17/22/GDG9A61_1766011706008.jpg|3           |200,038      |4           |2025-12-17 22:48:26.011|5       |304      |BR     |BRAZIL-1 |0        |0        |0        |
