|id |number|comment|status|created_at|created_by|closed_at|list_id|client_id|
|---|------|-------|------|----------|----------|---------|-------|---------|
|1|GAY5E00|[NULL]|1|2024-12-19 12:21:14.642|1|[NULL]|3|0|
|2|PPQ8997|[NULL]|1|2025-01-16 18:50:01.938|1|[NULL]|4|0|
|3|ASD1234|FIAT UNO|1|2025-02-18 19:49:19.062|1|[NULL]|4|0|
|4|ASD4567|CHEVROLET ONIX|1|2025-02-18 19:49:19.064|1|[NULL]|4|0|
|5|ASD8911|FORD KA|1|2025-02-18 19:49:19.064|1|[NULL]|4|0|
|6|IXF9F90|Guilherme da Silva Goncalves 	6	Honda Fit|1|2025-02-24 15:45:56.815|50|[NULL]|5|46|
|7|QNU7E60|Alessandro Machado Alves	4	Jeep Compass|1|2025-02-24 16:42:48.009|50|[NULL]|5|46|
|8|JCR4G10|Francisco Carlos Figueiro Muzzi 	12	Chevrolet Tracker lt|1|2025-02-24 16:44:21.68|50|[NULL]|5|46|
|9|INQ2758|Jessica Hilario de Lima	34	FOX preto|1|2025-02-24 16:46:08.706|50|[NULL]|5|46|
|10|JCT8F93|Carla Rosane Rodenbusch 	28	Renault Kwid|1|2025-02-24 16:48:15.467|50|[NULL]|5|46|
|11|IYU9878|Joao Paulo Lopes Ferreira 	9	Ford ka|1|2025-02-24 16:50:22.974|50|[NULL]|5|46|
|12|IXJ6712|Luiz Augusto Blorov dos Santos 	24	Duster|1|2025-02-24 16:51:54.972|50|[NULL]|5|46|
|13|QLC8F69|Paulo Rogerio de Avila Figueiredo 	29	Volkswagen Saveiro|1|2025-02-24 16:57:17.048|50|[NULL]|5|46|
|14|IYD5414|Rafael Reis de Souza 	37	Renault Logan|1|2025-02-24 16:58:50.52|50|[NULL]|5|46|
|15|IXK7200|Luciana Farias Pereira	19	ONIX|1|2025-02-24 17:03:24.093|50|[NULL]|5|46|
|16|IYT2B90|Renan Saar de Faria	3	HB20|1|2025-02-24 17:05:57.035|50|[NULL]|5|46|
|17|IYG2H42|Thagor Dorneles Mariath	31	VW Polo|1|2025-02-24 17:07:04.636|50|[NULL]|5|46|
|18|IUM9B63|Wellington de Lima Sampaio	17	Chevrolet Agile|1|2025-02-24 17:08:33.997|50|[NULL]|5|46|
|19|JBY3J10|Iara Glecy Caceres Della Pace	21	T CROS SENSE TSI|1|2025-02-24 17:19:52.348|50|[NULL]|5|46|
|20|JBF9B05|Joao Batista 	4	Kicks|1|2025-02-24 17:20:38.039|50|[NULL]|5|46|
|21|IUU0455|Eugenio Della Pace	21	DUSTER|1|2025-02-24 17:22:26.25|50|[NULL]|5|46|
|22|JBG3639|Vania Graciela de Oliveira Vieira 	20	Peugeot 3008|1|2025-02-24 17:37:28.267|50|[NULL]|5|46|
|23|pph2b91|moto roubada biz vermelha|1|2025-04-12 06:47:43.56|[NULL]|[NULL]|8|87|
|24|MTC7C06|Busca e apreensao|1|2025-04-14 13:37:28.884|[NULL]|[NULL]|8|87|
|25|EHA4H39|RESTRICAO JANDRESSA|1|2025-04-17 06:43:27.168|[NULL]|[NULL]|8|87|
|26|MPC9995|FURTO E ROUBO|1|2025-04-19 18:38:28.141|[NULL]|[NULL]|8|87|
|27|MOZ8J36|Restricao renajud|1|2025-04-21 12:47:37.397|[NULL]|[NULL]|8|87|
|28|FCU5498|Apto 21 - Onix|1|2025-08-06 15:15:00.669|52|[NULL]|10|8|
|29|SVJ5J95|Apto 25 - HB20|1|2025-08-06 15:15:42.27|52|[NULL]|10|8|
|30|ECH4B16|Apto 26 - Renegade|1|2025-08-06 15:15:51.863|52|[NULL]|10|8|
|31|DCX4029|Apto 21- Celta|1|2025-08-06 15:16:42.372|52|[NULL]|9|8|
|32|SWN1H03|Apto 33 - Kicks|1|2025-08-06 15:16:44.375|52|[NULL]|10|8|
|33|RNM4G66|Apto 36 - Renegade|1|2025-08-06 15:17:04.713|52|[NULL]|10|8|
|34|FFL5C81|Apto 22- Captur|1|2025-08-06 15:17:05.956|52|[NULL]|9|8|
