|id |uuid                                |type                       |plugin_name   |name       |created_at             |status |client_id|stream|module                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |last_gpu_id|desired_server_id|disable_balancing|start_signature          |allowed_server_ids|restrictions                                                                                                                                                                                            |events_holder                                                                               |start_at               |stream_uuid                         |group_id|
|---|------------------------------------|---------------------------|--------------|-----------|-----------------------|-------|---------|------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------|-----------------|-----------------|-------------------------|------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------|-----------------------|------------------------------------|--------|
|3  |cd5df79e-b701-4f56-90fd-5fe021dc78cb|AlprAnalyticsModule        |alpr          |FRENTE VSG |2025-12-17 02:10:14.11 |deleted|0        |[NULL]|{"advanced_settings":{"countries":["BR"],"frames_to_detect":60,"max_plate_length":7,"min_plate_height":15,"min_plate_length":7,"min_plate_width":60,"ocr_model":"0","save_frame":"plate","sensitivity":0.5,"template_matching":true},"blur_in_preview":false,"hardware_settings":{"acceleration":"openvino","decoding":"nvidia","frame_rate_settings":{"fps":10,"mode":"fps"},"hardware":"gpu","motion":true},"mode":"alert","polygons":[{"color":"#8E50ED","id":"11f0041fcad9","name":"Zone 1","points":[{"x":0.0,"y":0.0},{"x":1.0,"y":0.0},{"x":1.0,"y":1.0},{"x":0.0,"y":1.0}],"time_periods":[{"end_time":"23:59:59","selected_days":[0,1,2,3,4,5,6],"start_time":"00:00:00"}]}],"region":"LATAM","vehicle_wo_number":false}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |0          |002              |[NULL]           |xUCY94G1k5OHZR42gtgTrbCiU|[NULL]            |{"default_permissions":{"StopAnalytics":true,"StartAnalytics":true,"ViewAnalyticsEvents":true,"EditAnalytics":true,"ViewAnalyticsLive":true},"role_permissions":{},"user_permissions":{},"creator_id":1}|{"events":[{"id":"baad7b11-3f04-459c-bf7a-ea7be0bf4695","params":{}}],"notify_enabled":true}|2025-12-18 15:48:01.635|334c8cd4-bdfa-4d7e-8bf3-3da997efadc1|0       |
|2  |0d9e952a-4182-40bc-93c7-8540e27ff4b0|AlprAnalyticsModule        |alpr          |PACAEMBU SP|2025-12-17 02:04:15.898|deleted|0        |[NULL]|{"advanced_settings":{"countries":["BR"],"frames_to_detect":60,"max_plate_length":7,"min_plate_height":15,"min_plate_length":7,"min_plate_width":60,"ocr_model":"0","save_frame":"plate","sensitivity":0.5,"template_matching":true},"blur_in_preview":false,"hardware_settings":{"acceleration":"openvino","decoding":"nvidia","frame_rate_settings":{"fps":10,"mode":"fps"},"hardware":"gpu","motion":true},"mode":"alert","polygons":[{"color":"#8E50ED","id":"0aa7cdf610b6","name":"Zone 1","points":[{"x":0.0,"y":0.0},{"x":1.0,"y":0.0},{"x":1.0,"y":1.0},{"x":0.0,"y":1.0}],"time_periods":[{"end_time":"23:59:59","selected_days":[0,1,2,3,4,5,6],"start_time":"00:00:00"}]}],"region":"LATAM","vehicle_wo_number":false}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |0          |001              |[NULL]           |3EkuJ7umeTzbnfMoemY11sVQD|[NULL]            |{"default_permissions":{"StopAnalytics":true,"StartAnalytics":true,"ViewAnalyticsEvents":true,"EditAnalytics":true,"ViewAnalyticsLive":true},"role_permissions":{},"user_permissions":{},"creator_id":1}|{"events":[],"notify_enabled":false}                                                        |2025-12-17 02:07:26.357|75bcda17-66ff-40e6-9661-792e7693fa19|0       |
|1  |156e458f-d93d-4e2f-ac71-e870a997ae9c|GunDetectionAnalyticsModule|gun_detection |TESTE      |2025-12-17 01:57:33.718|deleted|0        |[NULL]|{"advanced_settings":{"alarm_filtration":true,"min_height":25,"min_width":25,"model":"quality","sensitivity":5.0,"tracker":"normal","trackerSensitivity":8,"tracker_buffer_time":20},"alert_delay":1,"hardware_settings":{"acceleration":"openvino","decoding":"nvidia","frame_rate_settings":{"fps":25,"mode":"fps"},"hardware":"gpu","motion":true},"polygons":[{"color":"#8E50ED","id":"97126515377650","name":"Rule 1","points":[{"x":0.016,"y":0.028},{"x":0.985,"y":0.028},{"x":0.985,"y":0.972},{"x":0.016,"y":0.972}],"time_periods":[{"end_time":"23:59:59","selected_days":[0,1,2,3,4,5,6],"start_time":"00:00:00"}],"types":[0]}]}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |1          |001              |[NULL]           |Ou8NGYizFX79uDCVbMqMo8e2T|[NULL]            |{"default_permissions":{"StopAnalytics":true,"StartAnalytics":true,"ViewAnalyticsEvents":true,"EditAnalytics":true,"ViewAnalyticsLive":true},"role_permissions":{},"user_permissions":{},"creator_id":1}|{"events":[],"notify_enabled":false}                                                        |2025-12-17 01:58:21.127|0553807c-4dd1-44c4-8a78-e25f4ed3deee|0       |
|8  |3e85bcc8-0d51-4a2f-83dd-81fa8fee75df|ObjectInZoneModule         |object_in_zone|FRENTE VSG |2025-12-17 23:27:10.523|stopped|0        |[NULL]|{"advanced_settings":{"alarm_filtration":true,"min_height":25,"min_width":25,"model":"quality","sensitivity":5.0,"tracker":"normal","trackerSensitivity":8,"tracker_buffer_time":20},"hardware_settings":{"acceleration":"openvino","decoding":"nvidia","frame_rate_settings":{"fps":5,"mode":"fps"},"hardware":"gpu","motion":true},"mode":"alert","polygons":[{"color":"#8E50ED","excluded":[],"id":"d1492ea228be","name":"Rule 1","points":[{"x":0.0078,"y":0.0133},{"x":0.9922,"y":0.0133},{"x":0.9922,"y":0.9861},{"x":0.0078,"y":0.9861}],"time_periods":[{"dwell_time":1,"end_time":"23:59:59","object_counter_limit":1,"selected_days":[0,1,2,3,4,5,6],"start_time":"00:00:00","trigger":6}],"types":[0,2,1,3,4,5]}],"show_popup_for_internal_notifications":false}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |0          |001              |[NULL]           |rAsfN2USY7ttHesd55vnWbp3B|["001"]           |{"default_permissions":{"StopAnalytics":true,"StartAnalytics":true,"ViewAnalyticsEvents":true,"EditAnalytics":true,"ViewAnalyticsLive":true},"role_permissions":{},"user_permissions":{},"creator_id":1}|{"events":[{"id":"baad7b11-3f04-459c-bf7a-ea7be0bf4695","params":{}}],"notify_enabled":true}|2025-12-18 14:34:31.77 |334c8cd4-bdfa-4d7e-8bf3-3da997efadc1|0       |
|5  |f1657930-141b-4941-a8fd-33b53736c629|TrafficAnalyticsModule     |traffic       |FRENTE VSG |2025-12-17 10:09:47.563|stopped|0        |[NULL]|{"advanced_settings":{"alarm_filtration":false,"min_height":25,"min_width":25,"model":"quality","sensitivity":5.0,"tracker":"normal","trackerSensitivity":8,"tracker_buffer_time":20},"hardware_settings":{"acceleration":"openvino","decoding":"nvidia","frame_rate_settings":{"fps":25,"mode":"fps"},"hardware":"gpu","motion":true},"lines":[{"color":"#9EF88E","count_type":1,"direction":1,"id":0,"name":"Rule 1","types":[0,1,3,2,5,4],"x1":0.9358924013351659,"x2":0.3484193991753387,"y1":0.2722222222222222,"y2":0.3416666666666667},{"color":"#D95648","count_type":1,"direction":2,"id":1,"name":"Rule 2","types":[0,1,3,2,5,4],"x1":0.2070488906342038,"x2":0.22432750834478696,"y1":0.2861111111111111,"y2":0.0}],"mode":"alert","push_delay":1,"show_popup_for_internal_notifications":false}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |0          |001              |[NULL]           |4bOBF3y5DLM7Yk7XSUebLeD9M|[NULL]            |{"default_permissions":{"StopAnalytics":true,"StartAnalytics":true,"ViewAnalyticsEvents":true,"EditAnalytics":true,"ViewAnalyticsLive":true},"role_permissions":{},"user_permissions":{},"creator_id":1}|{"events":[],"notify_enabled":false}                                                        |2025-12-17 10:14:43.837|334c8cd4-bdfa-4d7e-8bf3-3da997efadc1|0       |
|6  |a0e53571-25a0-46b5-bbce-fb9963de1446|SmartVaModule              |smart_va      |PACAEMBU SP|2025-12-17 10:31:34.8  |stopped|0        |[NULL]|{"advanced_settings":{"alarm_filtration":false,"min_height":25,"min_width":25,"model":"quality","sensitivity":5.0,"tracker":"normal","trackerSensitivity":8,"tracker_buffer_time":20},"hardware_settings":{"acceleration":"openvino","decoding":"nvidia","frame_rate_settings":{"fps":10,"mode":"fps"},"hardware":"gpu","motion":true},"mode":"alert","rules":[{"color":"#8E50ED","direction":31,"id":"113b0ad46e47","name":"Rule 1","object_types":["car","motorbike"],"points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"rule_type":"zone_with_direction","time_periods":[{"end_time":"23:59:59","selected_days":["monday","tuesday","wednesday","thursday","friday","saturday","sunday"],"start_time":"00:00:00"}]}]}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |0          |001              |[NULL]           |w2npbedIuPIPMcvhFuqvtSCKV|[NULL]            |{"default_permissions":{"StopAnalytics":true,"StartAnalytics":true,"ViewAnalyticsEvents":true,"EditAnalytics":true,"ViewAnalyticsLive":true},"role_permissions":{},"user_permissions":{},"creator_id":1}|{"events":[],"notify_enabled":false}                                                        |2025-12-17 21:07:18.385|75bcda17-66ff-40e6-9661-792e7693fa19|0       |
|4  |4efc1cf7-6691-4f76-85fe-51d21b8a606a|SmartVaModule              |smart_va      |FRENTE VSG |2025-12-17 02:14:56.39 |stopped|0        |[NULL]|{"advanced_settings":{"alarm_filtration":false,"min_height":25,"min_width":25,"model":"performance","sensitivity":5.0,"tracker":"normal","trackerSensitivity":8,"tracker_buffer_time":20},"hardware_settings":{"acceleration":"openvino","decoding":"nvidia","frame_rate_settings":{"fps":10,"mode":"fps"},"hardware":"gpu","motion":true},"mode":"alert","rules":[{"color":"#D95648","id":"3147c2ddc723","name":"Rule 1","object_types":["car","bicycle","motorbike","bus","truck"],"points":[{"x":0.7568230905163951,"y":0.6055555555555555},{"x":0.7599646573728647,"y":0.5805555555555556},{"x":0.7568230905163951,"y":0.5527777777777778},{"x":0.747398389946986,"y":0.525},{"x":0.7395444728058119,"y":0.5055555555555555},{"x":0.7316905556646377,"y":0.4861111111111111},{"x":0.7238366385234636,"y":0.4583333333333333},{"x":0.7144119379540546,"y":0.43333333333333335},{"x":0.7049872373846456,"y":0.41388888888888886},{"x":0.6971333202434714,"y":0.39444444444444443},{"x":0.6877086196740625,"y":0.375},{"x":0.682996269389358,"y":0.35555555555555557},{"x":0.673571568819949,"y":0.3277777777777778},{"x":0.6672884351070096,"y":0.30277777777777776},{"x":0.6594345179658354,"y":0.2833333333333333},{"x":0.654722167681131,"y":0.2611111111111111},{"x":0.6500098173964265,"y":0.24166666666666667},{"x":0.6468682505399568,"y":0.2222222222222222},{"x":0.6405851168270175,"y":0.19722222222222222},{"x":0.6248772825446691,"y":0.16944444444444445}],"rule_type":"path","time_periods":[{"end_time":"23:59:59","selected_days":["monday","tuesday","wednesday","thursday","friday","saturday","sunday"],"start_time":"00:00:00"}],"trajectory_accuracy":0.8}]}|0          |001              |[NULL]           |9fqpjfZZL11pjWi83ZW6baeSn|[NULL]            |{"default_permissions":{"StopAnalytics":true,"StartAnalytics":true,"ViewAnalyticsEvents":true,"EditAnalytics":true,"ViewAnalyticsLive":true},"role_permissions":{},"user_permissions":{},"creator_id":1}|{"events":[],"notify_enabled":false}                                                        |2025-12-17 11:24:46.743|334c8cd4-bdfa-4d7e-8bf3-3da997efadc1|0       |
|9  |27c45b8a-17a4-4cbf-8e96-35dc9ade070b|AlprAnalyticsModule        |alpr          |PACAEMBU SP|2025-12-18 16:23:20.087|stopped|0        |[NULL]|{"advanced_settings":{"countries":["BR"],"frames_to_detect":60,"max_plate_length":7,"min_plate_height":15,"min_plate_length":7,"min_plate_width":60,"ocr_model":"0","save_frame":"plate","sensitivity":0.5,"template_matching":false},"blur_in_preview":false,"hardware_settings":{"acceleration":"openvino","decoding":"nvidia","frame_rate_settings":{"fps":25,"mode":"fps"},"hardware":"gpu","motion":false},"mode":"alert","polygons":[{"color":"#8E50ED","id":"ad0b9d47aa5c","name":"Zone 1","points":[{"x":0.0,"y":0.0},{"x":1.0,"y":0.0},{"x":1.0,"y":1.0},{"x":0.0,"y":1.0}],"time_periods":[{"end_time":"23:59:59","selected_days":[0,1,2,3,4,5,6],"start_time":"00:00:00"}]}],"region":"LATAM","vehicle_wo_number":false}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |0          |001              |[NULL]           |VlAHHXCmLkKHe30ZwMxMFIFAk|[NULL]            |{"default_permissions":{"StopAnalytics":true,"StartAnalytics":true,"ViewAnalyticsEvents":true,"EditAnalytics":true,"ViewAnalyticsLive":true},"role_permissions":{},"user_permissions":{},"creator_id":1}|{"events":[{"id":"baad7b11-3f04-459c-bf7a-ea7be0bf4695","params":{}}],"notify_enabled":true}|2025-12-18 16:23:28.036|75bcda17-66ff-40e6-9661-792e7693fa19|0       |
|7  |302606e3-9ed8-4a5a-9c13-846a881b18a2|FaceAnalyticsModule        |face          |ECO 1      |2025-12-17 22:23:30.689|deleted|0        |[NULL]|{"advanced_settings":{"minHeight":25,"minWidth":25,"model":"quality","sensitivity":5.0,"trackerSensitivity":8,"tracker_buffer_time":10},"blur_in_preview":false,"camera_buffer":0,"detector_sensitivity":1,"frames_to_detect":5,"gender_age":true,"hardware_settings":{"acceleration":"openvino","decoding":"nvidia","frame_rate_settings":{"fps":12,"mode":"fps"},"hardware":"gpu","motion":false},"mask":false,"max_face_height":0,"min_face_height":50,"polygons":[{"color":"#8E50ED","id":"614c6c0a1802","name":"Zone 1","points":[{"x":0.0,"y":0.0},{"x":1.0,"y":0.0},{"x":1.0,"y":1.0},{"x":0.0,"y":1.0}],"time_periods":[{"end_time":"23:59:59","selected_days":[0,1,2,3,4,5,6],"start_time":"00:00:00"}]}],"race":false,"save_best_face":true,"spoofing":false}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |0          |001              |[NULL]           |kSWuXdGXMeVIpWqIvKnijydRp|[NULL]            |{"default_permissions":{"StopAnalytics":true,"StartAnalytics":true,"ViewAnalyticsEvents":true,"EditAnalytics":true,"ViewAnalyticsLive":true},"role_permissions":{},"user_permissions":{},"creator_id":1}|{"events":[],"notify_enabled":false}                                                        |2025-12-17 22:33:22.523|27484081-59fc-4409-aba5-2f90ff33e335|0       |
