|id |name|parent_id|plugin_name|client_id|
|---|----|---------|-----------|---------|
|1|ASSALTOS|0|alpr|1|
|2|SIMULACOES|0|alpr|1|
|3|ULTRAFARMA SANTO AMARO|0|alpr|4|
|4|IPMED|0|alpr|6|
|5|ESPIRAL|0|alpr|6|
|6|SERVIP|0|alpr|6|
|7|LUVEP|0|alpr|6|
|8|GM INDUSTRIAL|0|alpr|6|
|9|KOMTEK|0|alpr|0|
|10|SHOPP LARANJEIRAS|0|alpr|6|
|11|APRESENTACAO|0|alpr|0|
|12|6002 - SHOWROOM|0|alpr|40|
|13|SHOPPING VITORIA TESTE|0|alpr|40|
|14|GDL LOGISTICA|0|alpr|40|
|15|CAPIXABA|0|alpr|0|
|16|0992 - COPAG|0|alpr|80|
|17|PHD Vila Velha|0|alpr|6|
|18|PROJETO GDL|0|alpr|0|
|19|ESCOLA SANTA TEREZINHA|0|alpr|6|
|20|GRUPOSEI|0|alpr|0|
|21|BANCO SICOOB|0|alpr|84|
|22|EPI|0|alpr|0|
|23|ALERTAS OCR|0|alpr|1|
|24|RIVIERA|0|alpr|6|
|25|POC GRUPO SEI|0|alpr|84|
|26|ANTONIO. M. MACHADO|0|alpr|8|
|27|SEGEAGLE|0|alpr|0|
|28|GTTAN|0|alpr|0|
|29|CASA BRANCA|0|alpr|6|
|30|EUROVIDROS|0|alpr|6|
|31|AGGREGATION|0|alpr|0|
|32|HOMOLOGACOES|0|alpr|0|
|33|PRAIA FORT|0|alpr|0|
|34|COND. ROSENGARTEN|0|alpr|8|
|35|COND. SUPREMO VILA YARA|0|alpr|8|
|36|FINERAX|0|alpr|8|
|37|COND. SOLAR SERRANO|0|alpr|8|
|38|COND. CINTIA|0|alpr|8|
|39|BASE OPERACAO|0|alpr|8|
|40|COND. ANNUNCIATA|0|alpr|8|
|41|COND. ART ECO VIDA|0|alpr|8|
|42|COND. ATLANTA|0|alpr|8|
|43|COND. VILA YARA|0|alpr|8|
|44|COND. UPTOWN|0|alpr|8|
|45|COND. SHALON|0|alpr|8|
|46|COND. AUSTRIA|0|alpr|8|
|47|COND. SCORPIUS|0|alpr|8|
|48|COND. ROMA|0|alpr|8|
|49|COND. PRISCILA|0|alpr|8|
|50|COND. PORTAL SAO FRANCISCO|0|alpr|8|
|51|COND. ORQUIDEAS|0|alpr|8|
|52|COND. MORADA DO SOL|0|alpr|8|
|53|COND. MATRIZ|0|alpr|8|
|54|COND. MARAPASSU|0|alpr|8|
|55|COND. IPANEMA|0|alpr|8|
|56|COND. FLORENCA|0|alpr|8|
|57|COND. ESPANHA|0|alpr|8|
|58|COND. CAMILA|0|alpr|8|
|59|COND. BORBA GATO|0|alpr|8|
|60|COND. BEIJA FLOR|0|alpr|8|
|61|COND. BANDEIRANTES|0|alpr|8|
|62|COND. ANIMA|0|alpr|8|
|63|COND. 28 DE MAIO|0|alpr|8|
|64|COND. AMERICA|0|alpr|8|
|65|COND. BONFIGLIOLI|0|alpr|8|
|66|COND. BOULEVARD|0|alpr|8|
