|id |created_at             |session_id                        |user_id|user_ip        |source_id      |message                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |client_id|event_category_id                   |event_action_id                     |
|---|-----------------------|----------------------------------|-------|---------------|---------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|------------------------------------|------------------------------------|
|1  |2025-12-17 01:46:45.576|node0df082ru9bujdtl45twjcs3pu3    |1      |187.36.169.89  |middleware-core|""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |0        |2bc7a9f8-3e0d-4671-9524-f513e8e51ad3|2cb7445c-3fee-4ef5-80b0-ca92d11a03f9|
|2  |2025-12-17 01:46:57.637|node0df082ru9bujdtl45twjcs3pu3    |1      |187.36.169.89  |middleware-core|{"args":{"id":"middleware-face-plugin"},"template":"PLUGIN_INSTALLED"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |0        |286a0550-b2e6-43b7-b7a8-059278020832|4a8228cc-1074-42e3-a8f3-500b664baca9|
|3  |2025-12-17 01:47:24.389|node0df082ru9bujdtl45twjcs3pu3    |1      |187.36.169.89  |middleware-core|{"args":{"id":"middleware-gun-detection-plugin"},"template":"PLUGIN_INSTALLED"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0        |286a0550-b2e6-43b7-b7a8-059278020832|4a8228cc-1074-42e3-a8f3-500b664baca9|
|4  |2025-12-17 01:47:44.82 |node0df082ru9bujdtl45twjcs3pu3    |1      |187.36.169.89  |middleware-core|{"args":{"id":"middleware-hardhats-plugin"},"template":"PLUGIN_INSTALLED"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |0        |286a0550-b2e6-43b7-b7a8-059278020832|4a8228cc-1074-42e3-a8f3-500b664baca9|
|5  |2025-12-17 01:48:06.829|node0df082ru9bujdtl45twjcs3pu3    |1      |187.36.169.89  |middleware-core|{"args":{"id":"middleware-alpr-plugin"},"template":"PLUGIN_INSTALLED"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |0        |286a0550-b2e6-43b7-b7a8-059278020832|4a8228cc-1074-42e3-a8f3-500b664baca9|
|6  |2025-12-17 01:49:13.746|node0df082ru9bujdtl45twjcs3pu3    |1      |187.36.169.89  |middleware-core|{"args":{"id":"middleware-object-in-zone-plugin"},"template":"PLUGIN_INSTALLED"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |0        |286a0550-b2e6-43b7-b7a8-059278020832|4a8228cc-1074-42e3-a8f3-500b664baca9|
|7  |2025-12-17 01:49:41.231|node0df082ru9bujdtl45twjcs3pu3    |1      |187.36.169.89  |middleware-core|{"args":{"id":"middleware-port-logistics-plugin"},"template":"PLUGIN_INSTALLED"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |0        |286a0550-b2e6-43b7-b7a8-059278020832|4a8228cc-1074-42e3-a8f3-500b664baca9|
|8  |2025-12-17 01:50:03.63 |node0df082ru9bujdtl45twjcs3pu3    |1      |187.36.169.89  |middleware-core|{"args":{"id":"middleware-smokefire-plugin"},"template":"PLUGIN_INSTALLED"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |0        |286a0550-b2e6-43b7-b7a8-059278020832|4a8228cc-1074-42e3-a8f3-500b664baca9|
|9  |2025-12-17 01:50:21.052|node0df082ru9bujdtl45twjcs3pu3    |1      |187.36.169.89  |middleware-core|{"args":{"id":"middleware-traffic-plugin"},"template":"PLUGIN_INSTALLED"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |0        |286a0550-b2e6-43b7-b7a8-059278020832|4a8228cc-1074-42e3-a8f3-500b664baca9|
