|id                                                                     |author            |filename                                                       |dateexecuted              |orderexecuted|exectype|md5sum                            |description                                                                                                                                                                                                                                               |comments           |tag   |liquibase|contexts|labels|deployment_id|
|-----------------------------------------------------------------------|------------------|---------------------------------------------------------------|--------------------------|-------------|--------|----------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|------|---------|--------|------|-------------|
|create-table-clients                                                   |dmytro.yarmoshchuk|sql/changelog/2.0.0/3-clients-table.xml                        |2025-12-17 01:44:37.068593|1            |EXECUTED|8:ce2d90295fec2f407e0a5f33abf20691|createTable tableName=clients                                                                                                                                                                                                                             |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|create-table-settings                                                  |igor.kiulian      |sql/changelog/2.0.0/6-settings-table.xml                       |2025-12-17 01:44:37.116535|2            |EXECUTED|8:51e2b5e7fb57e49b6a910fd302dbe19e|createTable tableName=settings                                                                                                                                                                                                                            |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|drop-deprecated-settings-table                                         |maksym.kostyshen  |sql/changelog/2.0.0/6-settings-table.xml                       |2025-12-17 01:44:37.133733|3            |EXECUTED|8:bdf4dd53ae1461f86dd2051195e9de66|dropTable tableName=settings                                                                                                                                                                                                                              |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|create-table-system-settings                                           |dmytro.yarmoshchuk|sql/changelog/2.0.0/6-settings-table.xml                       |2025-12-17 01:44:37.221927|4            |EXECUTED|8:225024e622c6b29e2cfe07d3a8512d26|createTable tableName=system_settings                                                                                                                                                                                                                     |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|create-table-audit-trail-v2                                            |dmytro.yarmoshchuk|sql/changelog/2.0.0/7-audit-trail-table.xml                    |2025-12-17 01:44:37.256426|5            |EXECUTED|8:c23d81000cc6a8e25abd1ba5d9619564|createTable tableName=audit_trail                                                                                                                                                                                                                         |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|rename-and-change-type-event-action-event-category                     |maksym.kostyshen  |sql/changelog/2.0.0/7-audit-trail-table.xml                    |2025-12-17 01:44:37.288263|6            |EXECUTED|8:9f605e859f466e6cc1eda0cc89fcdee9|dropColumn columnName=event_category, tableName=audit_trail; dropColumn columnName=event_action, tableName=audit_trail; addColumn tableName=audit_trail; addColumn tableName=audit_trail                                                                  |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|drop-notnull-constraints-audit-trail                                   |maksym.kostyshen  |sql/changelog/2.0.0/7-audit-trail-table.xml                    |2025-12-17 01:44:37.314452|7            |EXECUTED|8:b52474a6e52c5d0522fa94a55b180eb1|dropNotNullConstraint columnName=user_id, tableName=audit_trail; dropNotNullConstraint columnName=user_ip, tableName=audit_trail; dropNotNullConstraint columnName=session_id, tableName=audit_trail                                                      |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|drop-stream_id-and-analytics_id-column-from-audit-trail                |maksym.fedorenko  |sql/changelog/2.0.0/7-audit-trail-table.xml                    |2025-12-17 01:44:37.339572|8            |EXECUTED|8:95666b0869c276daa0d27a46b5d727bc|dropColumn columnName=stream_id, tableName=audit_trail; dropColumn columnName=analytics_id, tableName=audit_trail                                                                                                                                         |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|create-audit-event_category-index                                      |maksym.fedorenko  |sql/changelog/2.0.0/7-audit-trail-table.xml                    |2025-12-17 01:44:37.370365|9            |EXECUTED|8:4d271b8efdc707bbd6bee36efd972f6a|createIndex indexName=audit-event_category-index, tableName=audit_trail                                                                                                                                                                                   |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|create-audit-event_action-index                                        |maksym.fedorenko  |sql/changelog/2.0.0/7-audit-trail-table.xml                    |2025-12-17 01:44:37.399384|10           |EXECUTED|8:4d7a4870ed972638d7343c4801e55c92|createIndex indexName=audit-event_action-index, tableName=audit_trail                                                                                                                                                                                     |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|create-table-cleaning_settings                                         |mark.rufin        |sql/changelog/2.0.0/11-cleaning-category-table.xml             |2025-12-17 01:44:37.432541|11           |EXECUTED|8:5b41336e2891eecf49b81b50f15ef997|createTable tableName=cleaning_settings                                                                                                                                                                                                                   |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|create-network-settings-table                                          |Serhii Syrtsov    |sql/changelog/2.0.0/network-settings-table.xml                 |2025-12-17 01:44:37.471765|12           |EXECUTED|8:a357978524e4256ed8f47fe34491705f|createTable tableName=network_settings                                                                                                                                                                                                                    |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935876842   |
|insert-default-network-settings                                        |Serhii Syrtsov    |sql/changelog/2.0.0/network-settings-table.xml                 |2025-12-17 01:44:37.486959|13           |EXECUTED|8:a38206c4716c21af2069356b7dc2d2f4|insert tableName=network_settings                                                                                                                                                                                                                         |                   |[NULL]|4.28.0   |insert  |[NULL]|5935876842   |
