|id |uuid                                |title                   |description|created_at             |nodes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |client_id|
|---|------------------------------------|------------------------|-----------|-----------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|
|1  |baad7b11-3f04-459c-bf7a-ea7be0bf4695|Integração Teste - cloud|           |2025-12-17 22:12:51.36 |[{"id":"c4bcf82c-3e74-452f-a1df-8e6ebd1c0cb7","outputs":{},"params":{},"type":"stop","x":352,"y":405},{"id":"c0950770-98fc-451b-91ca-c1f3cac22f16","outputs":{0:"78a563fd-eeb2-43d1-9852-d23ab87365c4"},"params":{},"type":"start","x":100,"y":100},{"id":"78a563fd-eeb2-43d1-9852-d23ab87365c4","outputs":{0:"c4bcf82c-3e74-452f-a1df-8e6ebd1c0cb7"},"params":{"method":"POST","content_type":"application/json","extra_headers":[{"param":"x-access-token","value":"Bearer eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6OTQyLCJ1c2VybmFtZSI6IlZDTE9VRCIsImxhbmd1YWdlIjoicHRfQlIiLCJ0b2tlbklkIjoiMzc4ZDk0NmItOTM2NC00NTM1LTk4NDctYjQ1ODMzNjExZjFjIn0.ir9CwwR0-ZGs4PZSOBxr36QEx4goscXej2wS9pGBZzdhrF3yWKcH0Zn4JCnIFLaW7VYpVIReHHdcjmbQh35Jqg"}],"max_threads":5,"extra":[{"param":"account","value":"7008"},{"param":"auxiliary","value":"1"},{"param":"partition","value":"XXX"}],"url":"https://komtek.engeinfo.com.br/api/vezha/events"},"type":"api","x":208,"y":243}]                                       |0        |
|2  |14d82c52-db06-43d2-b5b9-18ff15da375b|TESTE - DEV             |           |2025-12-18 13:48:00.078|[{"id":"c4bcf82c-3e74-452f-a1df-8e6ebd1c0cb7","outputs":{},"params":{},"type":"stop","x":352,"y":405},{"id":"c0950770-98fc-451b-91ca-c1f3cac22f16","outputs":{0:"78a563fd-eeb2-43d1-9852-d23ab87365c4"},"params":{},"type":"start","x":100,"y":100},{"id":"78a563fd-eeb2-43d1-9852-d23ab87365c4","outputs":{0:"c4bcf82c-3e74-452f-a1df-8e6ebd1c0cb7"},"params":{"method":"POST","content_type":"application/json","extra_headers":[{"param":"x-access-token","value":"Bearer eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6MTkxLCJtYXN0ZXJDb21wYW55SWQiOjIwMzQsInVzZXJuYW1lIjoiRU5HRUlORk8iLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6IjhlNjhlNWY5LTE4MjQtNDhlNC1iNDU5LTJiM2MwZTBmNGQzNiJ9.uWSsHOnoKXz18prciBWmwINoj9CbSqpgsTV_vQMDlJhBdN8QudDY3O05j0WxHbXwVUBDk3qkqaPWGKKUIruYiw"}],"max_threads":5,"extra":[{"param":"account","value":"1000"},{"param":"auxiliary","value":"1"},{"param":"partition","value":"XXX"},{"param":"companyId","value":"7718"}],"url":"http://api.engeinfo.com.br:3001/vezha/events"},"type":"api","x":208,"y":243}]|0        |
|3|832ccfb6-a8cb-4045-a957-108b6a172a2c|DATA OBJETO|VILA VELHA - 1|2024-04-06 03:22:07.787|[{"id":"2408cc39-1d3a-40ef-b579-657013792e0e","outputs":{},"params":{},"type":"stop","x":498,"y":424},{"id":"554a0418-51b2-4067-889e-2ffe8e48111b","outputs":{0:"1712373775542"},"params":{},"type":"start","x":100,"y":100},{"id":"1712373775542","outputs":{0:"2408cc39-1d3a-40ef-b579-657013792e0e",1:""},"params":{"method":"POST","content_type":"application/json","extra_headers":[{"param":"","value":""}],"max_threads":5,"extra":[{"param":"","value":""}],"id":1712373775544,"url":"https://script.google.com/macros/s/AKfycbybhWqP6HycHuiLud3cJkFfzxHY5B2WFhToDlF_Jn0_fh9x5uCJCGFc6YsuFjExbMOuAQ/exec?gid=853593099"},"type":"api","x":330,"y":290}]|0|
|4|419c1a72-faf2-4919-ad9b-303d9df5e055|DATA TRAFEGO|VILA VELHA - 2|2024-04-06 03:35:09.894|[{"id":"691300a3-5c33-4811-8bff-1be874375697","outputs":{},"params":{},"type":"stop","x":417,"y":417},{"id":"cdddedd9-7ee8-40b4-985c-30dfdd0de911","outputs":{0:"1712374614916"},"params":{},"type":"start","x":100,"y":100},{"id":"1712374614916","outputs":{0:"691300a3-5c33-4811-8bff-1be874375697",1:""},"params":{"method":"POST","content_type":"application/json","extra_headers":[{"param":"","value":""}],"max_threads":5,"extra":[{"param":"","value":""}],"id":1712374614918,"url":"https://script.google.com/macros/s/AKfycbybhWqP6HycHuiLud3cJkFfzxHY5B2WFhToDlF_Jn0_fh9x5uCJCGFc6YsuFjExbMOuAQ/exec?gid=0"},"type":"api","x":290,"y":290}]|0|
|5|13a28025-952e-440a-b92d-bf705ac1087e|SERVIP SEDE|TELEGRAM|2024-05-08 21:29:51.91|[{"id":"00248074-ccdd-4c08-a3ad-5694515eda76","outputs":{},"params":{},"type":"stop","x":467,"y":377},{"id":"9605071f-c9cb-41a6-8fc7-edc575e167cd","outputs":{0:"1715214614786"},"params":{},"type":"start","x":100,"y":100},{"id":"1715214614786","outputs":{0:"00248074-ccdd-4c08-a3ad-5694515eda76"},"params":{"date_format":"dd-MM-yyyy","id":1715214614788,"channel_id":"151774264","token":"6212536712:AAG9rS2xfsDq4gprNVJ0AbBfDiLyl3iLUoE"},"type":"telegram","x":310,"y":270}]|6|
|6|fcc7040d-9395-4650-9392-034ae4fc8505|0020 - ESPIRAL  CAM01 ZONA01|SIGMA|2024-05-08 21:34:47.311|[{"id":"87238dbe-415c-4774-aa7a-0231cb7393fd","outputs":{},"params":{},"type":"stop","x":495,"y":402},{"id":"1dd8364d-358e-4f61-a971-cc52e19caaed","outputs":{0:"1715217795089"},"params":{},"type":"start","x":100,"y":100},{"id":"1715217795089","outputs":{0:"87238dbe-415c-4774-aa7a-0231cb7393fd"},"params":{"account_id":"0020","partition":"1","zone":"1","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715217795091,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":330,"y":290}]|6|
|7|76cfa7d3-81ef-4703-9a0b-c3a70f41b426|0036 - GM INDUSTRIAL CAM 8  ZONA 1|SIGMA|2024-05-08 22:26:57.864|[{"id":"98fc4cd3-65a6-49f2-bea0-250579d5a24e","outputs":{},"params":{},"type":"stop","x":444,"y":402},{"id":"c8ce4fc9-ed66-4927-9c4c-7e5889d35c2e","outputs":{0:"1715218045542"},"params":{},"type":"start","x":100,"y":100},{"id":"1715218045542","outputs":{0:"98fc4cd3-65a6-49f2-bea0-250579d5a24e"},"params":{"account_id":"0036","partition":"1","zone":"1","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715218045544,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":310,"y":290}]|6|
|8|7c919a60-b9a1-4e8b-9a6e-8984995c8446|0036 - GM INDUSTRIAL CAM 7 ZONA 46|SIGMA|2024-05-08 22:40:43.152|[{"id":"2e09a830-7b13-4b62-a52c-2048a8e716bd","outputs":{},"params":{},"type":"stop","x":473,"y":397},{"id":"9dcb01b7-89e1-42c4-b7bf-e8e5d76e206f","outputs":{0:"1715218935080"},"params":{},"type":"start","x":100,"y":100},{"id":"1715218935080","outputs":{0:"2e09a830-7b13-4b62-a52c-2048a8e716bd"},"params":{"account_id":"0036","partition":"1","zone":"46","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715218935082,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":310,"y":270}]|6|
|9|8d91cb43-c70b-410e-9cbe-85953319883c|0036 - GM INDUSTRIAL CAM 11 ZONA 47|SIGMA|2024-05-08 22:47:18.919|[{"id":"0e2771d0-2b22-4412-b117-e1b73c7aaa3e","outputs":{},"params":{},"type":"stop","x":457,"y":390},{"id":"362cf8eb-a01f-4981-9df9-f2fb659edd10","outputs":{0:"1715219266893"},"params":{},"type":"start","x":100,"y":100},{"id":"1715219266893","outputs":{0:"0e2771d0-2b22-4412-b117-e1b73c7aaa3e"},"params":{"account_id":"0036","partition":"1","zone":"47","event_code":"VCAM","api_token":"eyJhbGciOiJIUzUxMiJ9.eyJpbnRlZ3JhdGlvblVzZXJJZCI6NTQsIm1hc3RlckNvbXBhbnlJZCI6Njc3OCwidXNlcm5hbWUiOiJWQ0xPVUQiLCJsYW5ndWFnZSI6InB0X0JSIiwidG9rZW5JZCI6ImIzZGFkYjRkLTlmYWYtNGNhNy05YzU2LTJiOTRjN2NkYzQ1YSJ9.l_-mfvJAwdglmU7RM1N0e5ir77--QDTCj_CurFGdm4Kp-fB-LdJ2wzxVmm3BGmM7IhcarhjrGucSDLQguW4pzw","id":1715219266895,"value":"","key":"","url":"https://api.segware.com.br"},"type":"sigma","x":310,"y":270}]|6|
