|id |detection_id|status|accepted_by|created_at             |list_id|list_item_id|analytics_id|uuid                                |confidence|box                                                                            |face_image                                                                                    |frame_image                                                                           |age   |gender|race  |spoofed|mask  |latitude|longitude|client_id|
|---|------------|------|-----------|-----------------------|-------|------------|------------|------------------------------------|----------|-------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|------|------|------|-------|------|--------|---------|---------|
|28 |28          |0     |1          |2025-12-17 22:35:24.404|1      |0           |7           |bb6b5de9-f4bf-4194-a31d-aa66e3f25525|0         |[0.1733630895614624,0.21381579339504242,0.1953125,0.25328946113586426]         |analytics/faces/7/2025/12/17/22/bb6b5de9-f4bf-4194-a31d-aa66e3f25525_1766010924373_cropped.jpg|analytics/faces/7/2025/12/17/22/bb6b5de9-f4bf-4194-a31d-aa66e3f25525_1766010924373.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|29 |29          |0     |1          |2025-12-17 22:35:26.095|1      |0           |7           |c52af27a-6fe7-4caa-9487-c2ad251fb84c|0         |[0.096726194024086,0.30460527539253235,0.123511902987957,0.35789474844932556]  |analytics/faces/7/2025/12/17/22/c52af27a-6fe7-4caa-9487-c2ad251fb84c_1766010926067_cropped.jpg|analytics/faces/7/2025/12/17/22/c52af27a-6fe7-4caa-9487-c2ad251fb84c_1766010926067.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|30 |30          |0     |1          |2025-12-17 22:35:26.505|1      |0           |7           |a44e5670-ed5b-4961-b3d8-5825896d7e14|0         |[0.090773805975914,0.34210526943206787,0.1171875,0.39671051502227783]          |analytics/faces/7/2025/12/17/22/a44e5670-ed5b-4961-b3d8-5825896d7e14_1766010926473_cropped.jpg|analytics/faces/7/2025/12/17/22/a44e5670-ed5b-4961-b3d8-5825896d7e14_1766010926473.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|31 |31          |0     |1          |2025-12-17 22:35:26.847|1      |0           |7           |b87e1ea9-3147-4602-bfc7-ea55502a81a8|0         |[0.1781994104385376,0.2032894790172577,0.198288694024086,0.23618420958518982]  |analytics/faces/7/2025/12/17/22/b87e1ea9-3147-4602-bfc7-ea55502a81a8_1766010926775_cropped.jpg|analytics/faces/7/2025/12/17/22/b87e1ea9-3147-4602-bfc7-ea55502a81a8_1766010926775.jpg|31-35 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|34 |34          |0     |1          |2025-12-17 22:35:33.195|1      |0           |7           |817907de-bae0-41f8-8888-3c9170deeac8|0         |[0.190476194024086,0.2638157904148102,0.2124255895614624,0.3078947365283966]   |analytics/faces/7/2025/12/17/22/817907de-bae0-41f8-8888-3c9170deeac8_1766010933168_cropped.jpg|analytics/faces/7/2025/12/17/22/817907de-bae0-41f8-8888-3c9170deeac8_1766010933168.jpg|81-100|1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|35 |35          |0     |1          |2025-12-17 22:35:33.691|1      |0           |7           |a6d72504-bd59-4b66-894e-0d26e4fee38b|0         |[0.223586305975914,0.17368420958518982,0.2406994104385376,0.20657894015312195] |analytics/faces/7/2025/12/17/22/a6d72504-bd59-4b66-894e-0d26e4fee38b_1766010933666_cropped.jpg|analytics/faces/7/2025/12/17/22/a6d72504-bd59-4b66-894e-0d26e4fee38b_1766010933666.jpg|66-80 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|92 |92          |0     |1          |2025-12-17 22:40:26.073|1      |0           |7           |abc306b7-d255-4efa-a24d-62ccf1367733|0         |[0.9639136791229248,0.7717105150222778,0.9985119104385376,0.8578947186470032]  |analytics/faces/7/2025/12/17/22/abc306b7-d255-4efa-a24d-62ccf1367733_1766011226016_cropped.jpg|analytics/faces/7/2025/12/17/22/abc306b7-d255-4efa-a24d-62ccf1367733_1766011226016.jpg|13-16 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|1  |1           |0     |1          |2025-12-17 22:28:34.264|1      |0           |7           |ee2b5c90-a88c-4456-9484-02bb8e171fa8|0         |[0.75,0.20460526645183563,0.7734375,0.25131580233573914]                       |analytics/faces/7/2025/12/17/22/ee2b5c90-a88c-4456-9484-02bb8e171fa8_1766010514154_cropped.jpg|analytics/faces/7/2025/12/17/22/ee2b5c90-a88c-4456-9484-02bb8e171fa8_1766010514154.jpg|22-30 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|2  |2           |0     |1          |2025-12-17 22:28:41.844|1      |0           |7           |a49bdd7b-74b7-4958-a037-2865f0a3b622|0         |[0.8984375,0.2750000059604645,0.9296875,0.3190789520740509]                    |analytics/faces/7/2025/12/17/22/a49bdd7b-74b7-4958-a037-2865f0a3b622_1766010521809_cropped.jpg|analytics/faces/7/2025/12/17/22/a49bdd7b-74b7-4958-a037-2865f0a3b622_1766010521809.jpg|36-40 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
