|id   |analytics_id|status|accepted_by|frame_image                                               |thumbnail_image                                                     |zone                                                                                                                                                                                                                                                  |dwell_time|trigger|notification_type|action_type|resolution                |created_at             |client_id|latitude|longitude|
|-----|------------|------|-----------|----------------------------------------------------------|--------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------|-------|-----------------|-----------|--------------------------|-----------------------|---------|--------|---------|
|1,411|8           |0     |1          |analytics/object_alerts/8/2025/12/18/11/_1766058332473.jpg|analytics/object_alerts/8/2025/12/18/11/_1766058332473_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|4         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 11:45:32.474|0        |0       |0        |
|1,427|8           |0     |2          |analytics/object_alerts/8/2025/12/18/12/_1766059654442.jpg|analytics/object_alerts/8/2025/12/18/12/_1766059654442_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|2         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:07:34.443|0        |0       |0        |
|1,428|8           |0     |2          |analytics/object_alerts/8/2025/12/18/12/_1766059663443.jpg|analytics/object_alerts/8/2025/12/18/12/_1766059663443_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|3         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:07:43.444|0        |0       |0        |
|1,412|8           |0     |1          |analytics/object_alerts/8/2025/12/18/11/_1766058404482.jpg|analytics/object_alerts/8/2025/12/18/11/_1766058404482_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|3         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 11:46:44.483|0        |0       |0        |
|1,413|8           |0     |1          |analytics/object_alerts/8/2025/12/18/11/_1766058413483.jpg|analytics/object_alerts/8/2025/12/18/11/_1766058413483_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|57        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 11:46:53.484|0        |0       |0        |
|1,414|8           |0     |1          |analytics/object_alerts/8/2025/12/18/11/_1766058415484.jpg|analytics/object_alerts/8/2025/12/18/11/_1766058415484_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|58        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 11:46:55.484|0        |0       |0        |
|1,415|8           |0     |1          |analytics/object_alerts/8/2025/12/18/11/_1766058476491.jpg|analytics/object_alerts/8/2025/12/18/11/_1766058476491_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|47        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 11:47:56.492|0        |0       |0        |
|1,416|8           |0     |1          |analytics/object_alerts/8/2025/12/18/11/_1766058487493.jpg|analytics/object_alerts/8/2025/12/18/11/_1766058487493_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|3         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 11:48:07.494|0        |0       |0        |
|1,417|8           |0     |1          |analytics/object_alerts/8/2025/12/18/11/_1766058535499.jpg|analytics/object_alerts/8/2025/12/18/11/_1766058535499_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|123       |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 11:48:55.5  |0        |0       |0        |
