|id |plugin_name   |backup_ignored_tables                                                                                                                    |managed_tables                                                                                                                                                                                                                                                                                                                                                                           |client_id|plugin_id                       |
|---|--------------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|--------------------------------|
|5  |object_in_zone|["object_in_zone_notifications","object_in_zone_object_type","zone_exit_notifications","zone_exit_notifications_object_type"]            |["object_in_zone_notifications","object_in_zone_object_type","zone_exit_notifications","zone_exit_notifications_object_type"]                                                                                                                                                                                                                                                            |0        |middleware-object-in-zone-plugin|
|9  |railroad      |["railroad_numbers"]                                                                                                                     |["railroad_numbers"]                                                                                                                                                                                                                                                                                                                                                                     |0        |middleware-railroads-plugin     |
|3  |hardhat       |["hardhats_notifications"]                                                                                                               |["hardhats_notifications"]                                                                                                                                                                                                                                                                                                                                                               |0        |middleware-hardhats-plugin      |
|2  |gun_detection |["gun_notifications","gun_type_mapping"]                                                                                                 |["gun_notifications","gun_type_mapping"]                                                                                                                                                                                                                                                                                                                                                 |0        |middleware-gun-detection-plugin |
|4  |alpr          |["alpr_detections","alpr_speed_rule_events","alpr_hourly_statistics"]                                                                    |["alpr_detections","alpr_hourly_statistics","alpr_list_events","alpr_list_items","alpr_lists","alpr_speed_rule_events","alpr_speed_rules","koatuu_level1","koatuu_level2","koatuu_level3","opendata_body_set","opendata_color_set","opendata_dep_set","opendata_fuel_set","opendata_kind_set","opendata_make_models","opendata_oper_set","opendata_purpose_set","opendata_tz"]           |0        |middleware-alpr-plugin          |
|7  |smoke_fire    |["smoke_fire_notifications","smoke_fire_type_mapping"]                                                                                   |["smoke_fire_notifications","smoke_fire_type_mapping"]                                                                                                                                                                                                                                                                                                                                   |0        |middleware-smokefire-plugin     |
|1  |face          |["face_detections","face_notifications","face_unique_person_mapping"]                                                                    |["face_detections","face_list_items","face_list_items_images","face_lists","face_notifications","face_unique_person_mapping"]                                                                                                                                                                                                                                                            |0        |middleware-face-plugin          |
|10 |smart_va      |["smart_va_notifications","smart_va_notification_objects","smart_va_people_detections","smart_va_vehicle_detections","smart_va_tracking"]|["smart_va_alpr_filter_presets","smart_va_heatmap_plans","smart_va_list_item_images","smart_va_list_items","smart_va_list_people_events","smart_va_lists","smart_va_minutely_stats","smart_va_notification_objects","smart_va_notifications","smart_va_people_detections","smart_va_person_filter_presets","smart_va_tracking","smart_va_traffic_counters","smart_va_vehicle_detections"]|0        |middleware-smart-va-plugin      |
|8  |traffic       |["traffic_stat","stats_traffic_minutely"]                                                                                                |["stats_traffic_minutely","traffic_counters","traffic_stat"]                                                                                                                                                                                                                                                                                                                             |0        |middleware-traffic-plugin       |
|6  |port_logistics|["port_logistics_container_numbers","port_logistics_detections"]                                                                         |["port_logistics_container_numbers","port_logistics_detections","port_logistics_rule_groups","port_logistics_rules"]                                                                                                                                                                                                                                                                     |0        |middleware-port-logistics-plugin|
