|id |role_name                |permissions                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |client_id|description|
|---|-------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|-----------|
|1  |root                     |[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |0        |[NULL]     |
|2  |Operadores1              |["ViewLprListStats","ViewFaceEvents","ViewLprSpeedRule","ViewLprSearch","ExportFaceStats","ViewFaceStats","ExportRailroadSearch","ExportLprSearch","ViewLprStats","ViewSmokeFireNotifications","ViewTrafficEvents","AcceptObjectInZoneNotification","EditItemInList","ViewLprAnalytic","ViewTrafficAnalytic","AddFaceListElement","ViewGunDetectorAnalytics","ViewSmokeFireAnalytics","ViewPortLogisticsRules","ExportTrafficStats","ViewRailroadAnalytic","ViewFaceAnalytic","SmartVaSearch","ViewStreams","ViewHardHatNotifications","ViewLiveTrafficAnalytics","ViewSmartVaNotification","ViewSmartVaHeatmapPlansStats","ExportFaceSearch","ViewTrafficObjectCounter","ViewHardHatAnalytics","ViewGunDetectorNotifications","ViewSmartVaListEvents","ViewRailroadSearch","AddItemToList","ViewLprListEvents","ViewObjectInZoneNotification","ViewLprLists","ViewLprSpeedEvents","ExportListsReports","ViewObjectInZoneAnalytics","ViewSmartVaLists","ViewLprSpeedReports","ViewTrafficStats","ViewFaceLists","ViewSmartVaAnalytics","ViewFaceSearch","ViewSmartVaHeatmapAnalyticsStats","ViewSmartVaHeatmapPlans","ViewPortLogisticsSearch"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |0        |           |
|3  |Coordenadores            |["ManageTrafficAnalytic","AcceptSmartVaNotification","ViewLprListStats","ViewFaceEvents","ManageSmokeFireAnalytics","DeleteFaceList","ManagePortLogisticsRules","ViewLprSearch","ViewLprSpeedRule","DeleteFaceListElement","ViewLogs","EditFaceListElement","ExportFaceStats","ViewFaceStats","ExportLprSearch","ExportRailroadSearch","ManageLprAnalytic","ManageEvents","ViewLprStats","ManageStreams","ViewSmokeFireNotifications","DeleteSmartVaList","ViewTrafficEvents","AcceptObjectInZoneNotification","RemoveItemFromList","EditItemInList","ViewLprAnalytic","EditFaceList","ViewTrafficAnalytic","AddFaceListElement","ViewGunDetectorAnalytics","ViewSmokeFireAnalytics","ManageRailroadAnalytic","ViewPortLogisticsRules","ExportTrafficStats","EditSmartVaList","ViewRailroadAnalytic","ManageLprSpeedRule","ViewFaceAnalytic","ManageHardHatAnalytic","DeleteLprListElement","AddSmartVaList","SmartVaSearch","ViewStreams","ManageObjectInZoneAnalytics","ViewHardHatNotifications","ViewLiveTrafficAnalytics","ViewSmartVaNotification","ManageFaceAnalytic","ManageGunDetectorAnalytics","ViewSmartVaHeatmapPlansStats","AddFaceList","AddLprList","ExportFaceSearch","ViewTrafficObjectCounter","ViewHardHatAnalytics","ViewGunDetectorNotifications","ViewSmartVaListEvents","ViewRailroadSearch","EditLprListElement","AddItemToList","ViewLprListEvents","ViewObjectInZoneNotification","ViewLprLists","ViewLprSpeedEvents","AddLprListElement","ExportListsReports","ViewObjectInZoneAnalytics","ManageSmartVaAnalytics","ViewSmartVaLists","EditLprList","DeleteLprList","ViewLprSpeedReports","ViewTrafficStats","ViewFaceLists","ViewSmartVaAnalytics","ViewFaceSearch","ViewSmartVaHeatmapAnalyticsStats","ViewPortLogisticsSearch","ViewSmartVaHeatmapPlans"]|0        |           |
|59 |VEMCO                    |["ManageTrafficAnalytic","ViewUsers","ViewStreams","ViewFaceEvents","ViewLiveTrafficAnalytics","DeleteFaceList","ManageFaceAnalytic","DeleteFaceListElement","EditFaceListElement","EditFaceList","ViewRoles","AddFaceListElement","ManageEvents","ViewTrafficAnalytic","ManageRoles","AddFaceList","ManageStreams","ViewTrafficObjectCounter","ManageUsers","ViewTrafficStats","ViewFaceLists","ViewTrafficEvents","ViewFaceSearch","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |0        |           |
|60 |Cliente 01               |["ViewTrafficStats","ViewFaceSearch","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |0        |           |
|61 |SOLUTION                 |["DeleteLprListElement","ManageTrafficAnalytic","ManageObjectInZoneAnalytics","ViewFaceEvents","ViewLiveTrafficAnalytics","ManageSmokeFireAnalytics","DeleteFaceList","ManageFaceAnalytic","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ManageEvents","ManageLprAnalytic","ViewLprStats","AddFaceList","AddLprList","ManageStreams","ViewTrafficObjectCounter","ViewSmokeFireNotifications","ViewTrafficEvents","EditLprListElement","AcceptObjectInZoneNotification","ViewObjectInZoneNotification","ViewLprAnalytic","ViewLprLists","EditFaceList","AddLprListElement","ViewTrafficAnalytic","AddFaceListElement","ViewObjectInZoneAnalytics","EditLprList","ViewSmokeFireAnalytics","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |0        |           |
|44 |CCONET                   |["DeleteLprListElement","ManageTrafficAnalytic","ViewStreams","ViewHardHatNotifications","ManageObjectInZoneAnalytics","ViewLiveTrafficAnalytics","ViewFaceEvents","ManageSmokeFireAnalytics","DeleteFaceList","ManageFaceAnalytic","ManageGunDetectorAnalytics","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ManageLprAnalytic","ManageEvents","ViewLprStats","AddFaceList","AddLprList","ManageStreams","ViewTrafficObjectCounter","ViewSmokeFireNotifications","ViewHardHatAnalytics","ViewTrafficEvents","ViewGunDetectorNotifications","ViewRailroadSearch","EditLprListElement","AcceptObjectInZoneNotification","ViewObjectInZoneNotification","ViewLprAnalytic","ViewLprLists","EditFaceList","AddLprListElement","ViewTrafficAnalytic","AddFaceListElement","ViewGunDetectorAnalytics","ViewObjectInZoneAnalytics","ManageRailroadAnalytic","ViewSmokeFireAnalytics","EditLprList","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch","ViewRailroadAnalytic","ViewFaceAnalytic","ManageHardHatAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |0        |           |
|45 |Megavig                  |["ManageTrafficAnalytic","ViewStreams","ManageObjectInZoneAnalytics","ViewFaceEvents","ViewLiveTrafficAnalytics","AcceptObjectInZoneNotification","DeleteFaceList","ManageFaceAnalytic","DeleteFaceListElement","EditFaceListElement","ViewObjectInZoneNotification","EditFaceList","AddFaceListElement","ManageEvents","ViewTrafficAnalytic","ViewObjectInZoneAnalytics","AddFaceList","ManageStreams","ViewTrafficObjectCounter","ViewTrafficStats","ViewFaceLists","ViewTrafficEvents","ViewFaceSearch","ViewFaceAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |0        |           |
|46 |Servip                   |["DeleteLprListElement","ManageTrafficAnalytic","ViewStreams","ViewHardHatNotifications","ManageObjectInZoneAnalytics","ViewLiveTrafficAnalytics","ViewFaceEvents","ManageSmokeFireAnalytics","DeleteFaceList","ManageFaceAnalytic","ManageGunDetectorAnalytics","ViewLprSearch","DeleteFaceListElement","EditFaceListElement","ExportLprSearch","ManageLprAnalytic","ManageEvents","ViewLprStats","AddFaceList","AddLprList","ManageStreams","ViewTrafficObjectCounter","ViewSmokeFireNotifications","ViewHardHatAnalytics","ViewTrafficEvents","ViewGunDetectorNotifications","ViewRailroadSearch","EditLprListElement","AcceptObjectInZoneNotification","ViewObjectInZoneNotification","ViewLprAnalytic","ViewLprLists","EditFaceList","AddLprListElement","ViewTrafficAnalytic","AddFaceListElement","ViewGunDetectorAnalytics","ViewObjectInZoneAnalytics","ManageRailroadAnalytic","ViewSmokeFireAnalytics","EditLprList","DeleteLprList","ViewTrafficStats","ViewFaceLists","ViewFaceSearch","ViewRailroadAnalytic","ViewFaceAnalytic","ManageHardHatAnalytic"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |0        |           |
