|id |role_name|permissions|client_id|description|
|---|---------|-----------|---------|-----------|
|1|root|["ManagePoseEstimationAnalytics", "ManageHardHatAnalytic", "ViewAlprSpeedRule", "ManageGenderAgeAnalytics", "EditLprListElement", "ManageMarketplacePlugins", "ManageTrafficAnalytic", "ViewParkingSettings", "ManageStreams", "ViewParkingAnalytics", "ViewReidSearch", "ViewStreams", "EditLprList", "ViewFaceStatistics", "ManageParkingComments", "ManageObjectInZoneAnalytics", "ManageLprAnalytic", "ViewLprAlertsStats", "ViewRailroadAnalytic", "ViewFaceSearch", "ViewGenderAgeAnalytics", "ViewAnalyticsLive", "ViewLiveTrafficAnalytics", "ViewGunDetectorAnalytics", "ManageReidAnalytic", "ExportLprAlerts", "EditFaceListElement", "EditAnalytics", "ViewObjectInZoneAnalytics", "ViewTrafficEvents", "ViewMotionNotification", "ViewHeatmapAnalytics", "ExportLprSearch", "ManageGeneralSettings", "ViewLogs", "ViewAlprSpeedEvents", "ViewLprAnalytic", "ViewLprLists", "ManageHeatmapAnalytics", "ViewRoles", "ViewFaceLists", "ManageRoles", "StopAnalytics", "ViewParkingComments", "AddLprListElement", "ViewGunDetectorNotifications", "AddFaceListElement", "ViewAnalyticsEvents", "ViewFaceAnalytic", "StartAnalytics", "AddFaceList", "ManageMotionAnalytics", "EditNotificationSounds", "ManageSmokeFireAnalytics", "ManageEvents", "ManageParkingAnalytics", "ViewGenderAgeStats", "ManageInstalledPlugins", "DeleteFaceListElement", "ViewAlprSpeedReports", "ViewUsers", "ViewSmokeFireNotifications", "ViewHardHatNotifications", "ViewParkingSearch", "ViewFaceEvents", "ManageRailroadAnalytic", "ManageUsers", "ManageLicenses", "ViewRailroadSearch", "ManageGunDetectorAnalytics", "ViewHardHatAnalytics", "ViewParkingEvents", "ViewTrafficObjectCounter", "ViewSmokeFireAnalytics", "DeleteLprListElement", "ViewObjectInZoneNotification", "ManageAlprSpeedRule", "ViewReidAnalytic", "ManageBranding", "ViewPoseEstimationNotification", "ViewLprSearch", "DeleteFaceList", "DeleteLprList", "ManageUpdates", "EditFaceList", "ViewLprEvents", "AddLprList", "ViewMotionAnalytics", "ViewHeatmapStats", "ViewAttributeReidSearch", "ViewTrafficStats", "ViewServers", "ViewTrafficAnalytic", "Unknown", "AcceptObjectInZoneNotification", "ViewPoseEstimationAnalytics", "ViewLprStats", "ManageFaceAnalytic"]|0|[NULL]|
|2|CCONET|["EditLprList", "ViewObjectInZoneAnalytics", "ViewFaceSearch", "AddLprListElement", "ExportLprSearch", "ViewTrafficStats", "ManageStreams", "ViewLprAlertsStats", "ViewReidAnalytic", "ViewLprLists", "DeleteLprList", "AcceptObjectInZoneNotification", "ViewGenderAgeStats", "ViewAttributeReidSearch", "ViewLprStats", "ViewLprAnalytic", "ViewTrafficObjectCounter", "ViewHardHatAnalytics", "ViewLprSearch", "ViewGunDetectorAnalytics", "ViewAlprSpeedEvents", "ViewAlprSpeedRule", "ViewHeatmapAnalytics", "ManageMotionAnalytics", "ManageRailroadAnalytic", "ViewRailroadAnalytic", "AddFaceListElement", "EditFaceListElement", "DeleteFaceListElement", "ViewPoseEstimationAnalytics", "ExportLprAlerts", "ManageGenderAgeAnalytics", "ViewParkingComments", "ViewGenderAgeAnalytics", "ViewObjectInZoneNotification", "ManageReidAnalytic", "ViewFaceAnalytic", "ViewFaceLists", "ViewFaceStatistics", "ViewLprEvents", "EditFaceList", "ManageEvents", "ViewMotionNotification", "ManageObjectInZoneAnalytics", "ManageLprAnalytic", "ViewAlprSpeedReports", "ViewParkingSettings", "ViewRailroadSearch", "ViewHeatmapStats", "ManageGunDetectorAnalytics", "ManageHardHatAnalytic", "ViewFaceEvents", "ViewStreams", "ViewTrafficEvents", "ViewMotionAnalytics", "ManagePoseEstimationAnalytics", "DeleteLprListElement", "ViewPoseEstimationNotification", "ManageFaceAnalytic", "ViewHardHatNotifications", "ManageParkingAnalytics", "ViewParkingAnalytics", "AddLprList", "ViewParkingSearch", "AddFaceList", "ManageTrafficAnalytic", "EditLprListElement", "ViewTrafficAnalytic", "ViewGunDetectorNotifications", "ManageSmokeFireAnalytics", "ViewReidSearch", "DeleteFaceList", "ViewSmokeFireAnalytics", "ManageAlprSpeedRule", "ManageHeatmapAnalytics", "ViewSmokeFireNotifications", "ManageParkingComments", "ViewParkingEvents", "ViewLiveTrafficAnalytics"]|0|[NULL]|
|5|Megavig|["ManageFaceAnalytic", "ViewTrafficEvents", "EditFaceList", "ViewObjectInZoneAnalytics", "ViewGenderAgeStats", "AcceptObjectInZoneNotification", "ViewStreams", "EditFaceListElement", "ViewTrafficObjectCounter", "ViewObjectInZoneNotification", "ViewFaceSearch", "ViewHeatmapAnalytics", "ManageHeatmapAnalytics", "ManageEvents", "AddFaceList", "ViewFaceStatistics", "ViewFaceEvents", "ViewTrafficAnalytic", "ViewFaceLists", "ManageTrafficAnalytic", "ViewTrafficStats", "ViewLiveTrafficAnalytics", "AddFaceListElement", "ViewHeatmapStats", "ViewFaceAnalytic", "ManageObjectInZoneAnalytics", "DeleteFaceListElement", "ManageStreams", "DeleteFaceList", "ManageGenderAgeAnalytics", "ViewGenderAgeAnalytics"]|0|[NULL]|
|7|Servip|["EditLprList", "ViewObjectInZoneAnalytics", "ViewFaceSearch", "AddLprListElement", "ExportLprSearch", "ViewTrafficStats", "ManageStreams", "ViewLprAlertsStats", "ViewReidAnalytic", "ViewLprLists", "DeleteLprList", "AcceptObjectInZoneNotification", "ViewGenderAgeStats", "ViewAttributeReidSearch", "ViewLprStats", "ViewLprAnalytic", "ViewTrafficObjectCounter", "ViewHardHatAnalytics", "ViewLprSearch", "ViewGunDetectorAnalytics", "ViewAlprSpeedEvents", "ViewAlprSpeedRule", "ViewHeatmapAnalytics", "ManageMotionAnalytics", "ManageRailroadAnalytic", "ViewRailroadAnalytic", "AddFaceListElement", "EditFaceListElement", "DeleteFaceListElement", "ViewPoseEstimationAnalytics", "ExportLprAlerts", "ManageGenderAgeAnalytics", "ViewParkingComments", "ViewGenderAgeAnalytics", "ViewObjectInZoneNotification", "ManageReidAnalytic", "ViewFaceAnalytic", "ViewFaceLists", "ViewFaceStatistics", "ViewLprEvents", "EditFaceList", "ManageEvents", "ViewMotionNotification", "ManageObjectInZoneAnalytics", "ManageLprAnalytic", "ViewAlprSpeedReports", "ViewParkingSettings", "ViewRailroadSearch", "ViewHeatmapStats", "ManageGunDetectorAnalytics", "ManageHardHatAnalytic", "ViewFaceEvents", "ViewStreams", "ViewTrafficEvents", "ViewMotionAnalytics", "ManagePoseEstimationAnalytics", "DeleteLprListElement", "ViewPoseEstimationNotification", "ManageFaceAnalytic", "ViewHardHatNotifications", "ManageParkingAnalytics", "ViewParkingAnalytics", "AddLprList", "ViewParkingSearch", "AddFaceList", "ManageTrafficAnalytic", "EditLprListElement", "ViewTrafficAnalytic", "ViewGunDetectorNotifications", "ManageSmokeFireAnalytics", "ViewReidSearch", "DeleteFaceList", "ViewSmokeFireAnalytics", "ManageAlprSpeedRule", "ManageHeatmapAnalytics", "ViewSmokeFireNotifications", "ManageParkingComments", "ViewParkingEvents", "ViewLiveTrafficAnalytics"]|0|[NULL]|
|9|Operadores|["ViewObjectInZoneNotification", "ViewTrafficObjectCounter", "AcceptObjectInZoneNotification", "ViewStreams", "ViewLiveTrafficAnalytics", "ViewTrafficEvents", "ViewTrafficAnalytic", "ViewTrafficStats", "ViewObjectInZoneAnalytics"]|0|[NULL]|
|10|HMSJ HOSPITAL|["ViewLprAlertsStats", "ViewReidAnalytic", "AddFaceListElement", "EditLprList", "ManagePoseEstimationAnalytics", "ManageSmokeFireAnalytics", "ViewTrafficAnalytic", "ManageGunDetectorAnalytics", "ViewTrafficObjectCounter", "ViewParkingEvents", "ViewLprLists", "ManageStreams", "ManageFaceAnalytic", "ViewPoseEstimationNotification", "ViewTrafficEvents", "ViewAlprSpeedRule", "ExportLprAlerts", "ViewLprStats", "ViewParkingSearch", "AddFaceList", "ExportLprSearch", "ViewParkingComments", "ViewSmokeFireNotifications", "ViewGunDetectorNotifications", "ManageObjectInZoneAnalytics", "ManageParkingAnalytics", "ManageLprAnalytic", "EditFaceListElement", "DeleteLprListElement", "ManageReidAnalytic", "DeleteLprList", "ViewLprEvents", "AcceptObjectInZoneNotification", "ViewPoseEstimationAnalytics", "ManageTrafficAnalytic", "EditFaceList", "ViewGunDetectorAnalytics", "ViewSmokeFireAnalytics", "ViewAlprSpeedReports", "AddLprList", "ViewStreams", "ViewFaceAnalytic", "ViewLprSearch", "ManageAlprSpeedRule", "ViewFaceLists", "ViewParkingSettings", "ViewLiveTrafficAnalytics", "ViewFaceEvents", "ViewReidSearch", "EditLprListElement", "ManageEvents", "ViewObjectInZoneNotification", "ViewFaceStatistics", "DeleteFaceList", "ManageParkingComments", "ViewTrafficStats", "ViewFaceSearch", "ViewAttributeReidSearch", "ViewAlprSpeedEvents", "AddLprListElement", "ViewObjectInZoneAnalytics", "ViewParkingAnalytics", "DeleteFaceListElement", "ViewLprAnalytic"]|0|[NULL]|
|11|Vertex|["ViewFaceStatistics", "ViewAlprSpeedReports", "ManageLprAnalytic", "ExportLprAlerts", "ViewLprStats", "AcceptObjectInZoneNotification", "ViewUsers", "ManageEvents", "ManageAlprSpeedRule", "ViewLprEvents", "ManageUsers", "ViewLprAnalytic", "ViewFaceAnalytic", "ManageStreams", "DeleteFaceListElement", "DeleteLprListElement", "ManageFaceAnalytic", "ViewRoles", "EditLprListElement", "ViewFaceEvents", "ManageRoles", "ViewLprAlertsStats", "ViewAlprSpeedEvents", "DeleteLprList", "ManageObjectInZoneAnalytics", "AddLprList", "ViewLprSearch", "AddLprListElement", "ViewGunDetectorAnalytics", "ViewObjectInZoneNotification", "ViewStreams", "EditFaceList", "AddFaceListElement", "ManageGunDetectorAnalytics", "ViewFaceLists", "ViewLprLists", "EditLprList", "ViewObjectInZoneAnalytics", "ExportLprSearch", "ViewFaceSearch", "ViewGunDetectorNotifications", "DeleteFaceList", "EditFaceListElement", "ViewAlprSpeedRule", "AddFaceList"]|0|[NULL]|
|43|SHOW ROOM|["ViewFaceEvents", "ViewPoseEstimationNotification", "DeleteFaceListElement", "ViewTrafficEvents", "AddLprListElement", "ManageUpdates", "ViewReidAnalytic", "ManageRoles", "ViewServers", "AddLprList", "ViewStreams", "ViewAlprSpeedRule", "ViewLiveTrafficAnalytics", "EditLprListElement", "ViewReidSearch", "ViewHardHatAnalytics", "ManageGeneralSettings", "ViewLprAlertsStats", "ViewHeatmapStats", "ManageBranding", "ManageObjectInZoneAnalytics", "ManageParkingAnalytics", "ViewObjectInZoneNotification", "ViewAttributeReidSearch", "ManageReidAnalytic", "EditLprList", "ViewLprStats", "ViewFaceAnalytic", "ViewMotionAnalytics", "ViewGunDetectorAnalytics", "ViewTrafficObjectCounter", "EditFaceListElement", "ViewTrafficStats", "ViewLprLists", "ViewMotionNotification", "ManageParkingComments", "DeleteLprList", "ViewParkingAnalytics", "DeleteLprListElement", "ViewFaceStatistics", "ManageStreams", "ViewFaceSearch", "ManageInstalledPlugins", "ViewFaceLists", "ManageFaceAnalytic", "ManageHardHatAnalytic", "ViewUsers", "ViewLogs", "ViewTrafficAnalytic", "ViewHardHatNotifications", "ViewAlprSpeedEvents", "ViewHeatmapAnalytics", "ExportLprAlerts", "AddFaceList", "ManagePoseEstimationAnalytics", "ViewSmokeFireAnalytics", "ViewParkingSearch", "ViewParkingEvents", "ManageSmokeFireAnalytics", "ViewRailroadSearch", "AddFaceListElement", "ViewAlprSpeedReports", "AcceptObjectInZoneNotification", "ManageMarketplacePlugins", "ManageTrafficAnalytic", "DeleteFaceList", "ViewParkingComments", "ViewObjectInZoneAnalytics", "ManageUsers", "ManageRailroadAnalytic", "ManageEvents", "ViewLprSearch", "ViewLprEvents", "ViewPoseEstimationAnalytics", "ViewGunDetectorNotifications", "ViewRoles", "ManageHeatmapAnalytics", "ManageGunDetectorAnalytics", "ViewParkingSettings", "ViewSmokeFireNotifications", "ExportLprSearch", "EditNotificationSounds", "ViewRailroadAnalytic", "EditFaceList", "ManageLprAnalytic", "ViewGenderAgeStats", "ViewLprAnalytic", "ViewGenderAgeAnalytics", "ManageAlprSpeedRule", "ManageMotionAnalytics", "ManageGenderAgeAnalytics", "ManageLicenses"]|0|[NULL]|
|48|TIAGO|["ViewObjectInZoneNotification", "AddFaceListElement", "ViewLprSearch", "ViewStreams", "ViewAlprSpeedReports", "ViewFaceEvents", "AcceptObjectInZoneNotification", "ViewLprLists", "EditFaceListElement", "ViewLprEvents", "AddLprList", "ViewAlprSpeedRule", "AddLprListElement", "DeleteFaceListElement", "ViewFaceAnalytic", "ManageStreams", "AddFaceList", "DeleteLprList", "ViewAlprSpeedEvents", "ViewLprAnalytic", "ViewLprStats", "ManageFaceAnalytic", "ViewRoles", "ManageEvents", "ManageRoles", "ViewObjectInZoneAnalytics", "EditLprListElement", "ManageAlprSpeedRule", "DeleteFaceList", "ExportLprSearch", "ViewUsers", "ExportLprAlerts", "EditLprList", "ManageUsers", "ViewFaceStatistics", "ViewFaceLists", "ManageObjectInZoneAnalytics", "ManageLprAnalytic", "EditFaceList", "ViewLprAlertsStats", "ViewFaceSearch", "DeleteLprListElement"]|0|[NULL]|
