|id |status|accepted_by|va_id|stream_id|frame_image                                                 |thumbnail_image                                                       |trigger|trigger_settings|notification_type|resolution                  |created_at             |rule_type|rule                                                                                                                                                                                                                                                                                                                                 |client_id|notification_status|presence_action_type|
|---|------|-----------|-----|---------|------------------------------------------------------------|----------------------------------------------------------------------|-------|----------------|-----------------|----------------------------|-----------------------|---------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|-------------------|--------------------|
|15 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964826812.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964826812_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:47:06.813|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|16 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964844796.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964844796_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:47:24.796|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|17 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964855742.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964855742_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:47:35.742|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|19 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964896952.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964896952_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:48:16.952|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|22 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964930101.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964930101_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:48:50.101|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|23 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766005668849.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766005668849_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:07:48.85 |1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|36 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766007270000.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766007270000_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:34:30    |1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|37 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766007271910.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766007271910_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:34:31.91 |1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|38 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766007301890.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766007301890_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:35:01.89 |1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
