|id |va_id|line|type|count|direction|created_at         |client_id|present|
|---|-----|----|----|-----|---------|-------------------|---------|-------|
|1  |5    |0   |0   |1    |1        |2025-12-17 10:09:00|0        |12     |
|2  |5    |0   |3   |1    |1        |2025-12-17 10:09:00|0        |7      |
|3  |5    |0   |0   |5    |1        |2025-12-17 10:12:00|0        |12     |
|4  |5    |0   |3   |2    |1        |2025-12-17 10:12:00|0        |7      |
|5  |5    |0   |0   |4    |1        |2025-12-17 10:15:00|0        |12     |
|6  |5    |0   |2   |22   |1        |2025-12-17 10:15:00|0        |31     |
|7  |5    |0   |3   |4    |1        |2025-12-17 10:15:00|0        |7      |
|8  |5    |0   |4   |2    |1        |2025-12-17 10:15:00|0        |2      |
|9  |5    |0   |5   |4    |1        |2025-12-17 10:15:00|0        |5      |
|10 |5    |1   |2   |3    |2        |2025-12-17 10:15:00|0        |-4     |
|11 |5    |1   |4   |1    |2        |2025-12-17 10:15:00|0        |-1     |
|12 |5    |0   |0   |2    |1        |2025-12-17 10:18:00|0        |12     |
|13 |5    |0   |1   |1    |1        |2025-12-17 10:18:00|0        |1      |
|14 |5    |0   |5   |1    |1        |2025-12-17 10:18:00|0        |5      |
|15 |5    |1   |2   |1    |2        |2025-12-17 10:18:00|0        |-4     |
|16 |5    |0   |2   |9    |1        |2025-12-17 10:18:00|0        |31     |
