|id |number |comment                                                   |status|created_at             |created_by|closed_at              |list_id|client_id|
|---|-------|----------------------------------------------------------|------|-----------------------|----------|-----------------------|-------|---------|
|1  |FQD1A94|""                                                        |-1    |2024-04-29 19:53:40.711|4         |2024-05-30 21:21:17.121|34     |3        |
|2  |GSV8F29|"Empresa X"                                               |-1    |2024-09-30 06:57:12.168|1         |2024-12-16 06:22:37.813|38     |0        |
|3  |PPR5D24|""                                                        |-1    |2024-10-10 17:09:08.078|88        |2024-12-16 06:22:32.545|39     |80       |
|4  |AHT7H73|""                                                        |-1    |2024-10-15 22:56:54.795|1         |2024-12-16 06:23:02.147|40     |0        |
|5  |AQW4905|""                                                        |-1    |2024-10-19 06:34:42.668|1         |2024-12-16 06:23:02.149|40     |0        |
|6  |BBP1459|"SEGURANÇA PUBLICA"                                       |-1    |2024-10-20 15:14:18.387|1         |2024-12-16 06:23:02.15 |40     |0        |
|7  |BBP1459|""                                                        |-1    |2024-10-23 09:19:25.806|1         |2024-12-16 06:23:19.786|41     |0        |
|8  |BCJ2065|""                                                        |-1    |2024-10-27 09:16:22.158|1         |2024-10-30 09:06:15.835|41     |0        |
|9  |AZT6320|""                                                        |-1    |2024-10-29 22:20:56.64 |1         |2024-12-16 06:23:19.787|41     |0        |
|10 |AZT6269|""                                                        |-1    |2024-10-29 22:21:20.063|1         |2024-12-16 06:23:19.787|41     |0        |
|11 |BCJ2064|""                                                        |-1    |2024-10-30 09:07:39.943|1         |2024-12-16 06:23:19.788|41     |0        |
|12 |BCJ2065|""                                                        |-1    |2024-11-03 08:57:11.508|1         |2024-12-16 06:23:19.788|41     |0        |
|13 |BCL2065|""                                                        |-1    |2024-11-11 14:39:38.796|1         |2024-12-16 06:23:19.788|41     |0        |
|14 |BCA3104|""                                                        |-1    |2024-11-18 06:08:47.081|1         |2024-12-16 06:23:53.433|43     |0        |
|15 |TKK7A90|"CRONOS"                                                  |-1    |2024-12-13 08:17:32.212|1         |2025-04-13 10:55:41.566|44     |0        |
|16 |STM1G15|"FIORINO"                                                 |-1    |2024-12-13 08:17:54.92 |1         |2025-04-13 10:55:41.567|44     |0        |
|17 |FUK0G21|"FIORIONO"                                                |-1    |2024-12-13 08:19:35.19 |1         |2025-04-13 10:55:41.567|44     |0        |
|18 |FUK0D83|"FIORINO"                                                 |-1    |2024-12-13 08:19:58.094|1         |2025-04-13 10:55:41.568|44     |0        |
|19 |FUK0E58|"ONIX"                                                    |-1    |2024-12-13 08:20:12.549|1         |2025-04-13 10:55:41.569|44     |0        |
|20 |FUK0E41|"JUMP"                                                    |-1    |2024-12-13 08:20:39.505|1         |2025-04-13 10:55:41.569|44     |0        |
|21 |FUK0J74|"MOBI"                                                    |-1    |2024-12-13 08:20:55.559|1         |2025-04-13 10:55:41.569|44     |0        |
|22 |FUK0E75|""                                                        |-1    |2024-12-14 18:40:10.491|1         |2025-04-13 10:55:41.57 |44     |0        |
|23 |RHL1J15|""                                                        |-1    |2024-12-14 18:48:34.298|1         |2025-04-13 10:55:41.57 |44     |0        |
|24 |FUK0141|""                                                        |-1    |2024-12-18 08:54:52.908|1         |2025-04-13 10:55:41.57 |44     |0        |
|25 |FUK0135|""                                                        |-1    |2024-12-18 09:05:21.371|1         |2025-04-13 10:55:41.57 |44     |0        |
|26 |GAY5E00|""                                                        |1     |2024-12-19 12:21:14.642|1         |[NULL]                 |45     |0        |
|27 |RHE1J15|""                                                        |-1    |2024-12-21 17:32:05.675|1         |2025-04-13 10:55:41.571|44     |0        |
|28 |SDZ1H98|""                                                        |-1    |2024-12-28 14:05:20.606|1         |2025-04-13 10:55:41.571|44     |0        |
|29 |PPQ8997|""                                                        |1     |2025-01-16 18:50:01.938|1         |[NULL]                 |46     |0        |
|30 |JCA8J58|"VTR-02"                                                  |-1    |2025-01-31 18:54:15.44 |1         |2025-04-13 10:55:50.754|47     |0        |
|62 |ASD1234|"FIAT UNO"                                                |-1    |2025-02-18 19:46:19.139|1         |2025-02-18 19:46:28.684|46     |0        |
|63 |ASD4567|"CHEVROLET ONIX"                                          |-1    |2025-02-18 19:46:19.152|1         |2025-02-18 19:46:33.723|46     |0        |
|64 |ASD8911|"FORD KA"                                                 |-1    |2025-02-18 19:46:19.153|1         |2025-02-18 19:46:31.005|46     |0        |
|65 |ASD1234|"FIAT UNO"                                                |1     |2025-02-18 19:49:19.062|1         |[NULL]                 |46     |0        |
|66 |ASD4567|"CHEVROLET ONIX"                                          |1     |2025-02-18 19:49:19.064|1         |[NULL]                 |46     |0        |
