|id |name                        |comment       |streams        |send_internal_notifications|events_holder                                                                                           |status|created_at             |list_permissions                                                                                                                                                                                           |enabled|color  |client_id|
|---|----------------------------|--------------|---------------|---------------------------|--------------------------------------------------------------------------------------------------------|------|-----------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------|-------|---------|
|1  |MORADORES                   |              |"[7]"          |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-04-09 19:58:14.69 |"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#000000|0        |
|2  |                            |              |"[914,546]"    |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-11-11 06:34:23.504|"{\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"                   |[NULL] |       |0        |
|34 |MORADORES                   |              |"[47]"         |true                       |"{\"events\":[{\"id\":\"ecacb16d-8b62-4ac3-8c16-c58f857e20da\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2024-04-29 19:52:27.561|"{\"creator_id\":4,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#f5f5f5|3        |
|35 |PRESTADOR DE SERVIÇOS       |              |"[42]"         |true                       |"{\"events\":[{\"id\":\"bd94f2de-a59b-46e6-8cd0-dcf1fab01f5f\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2024-06-20 18:48:50.401|"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#113dee|0        |
|36 |PLACAS CLONADAS             |              |"[3,40,42,11]" |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-08-14 11:00:06.398|"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#000000|0        |
|37 |PLACAS CLONADAS             |              |"[3,40,42,11]" |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-08-14 11:00:06.398|"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#000000|0        |
|38 |TERCEIRIZADOS               |              |"[]"           |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-09-30 06:57:39.97 |"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#B4E200|0        |
|39 |CAPIXABA                    |              |"[284]"        |true                       |"{\"events\":[{\"id\":\"668cad9d-4acc-49af-9577-b93c90bb82e2\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2024-10-10 17:07:56.985|"{\"creator_id\":88,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |[NULL] |#000c3d|80       |
|40 |AEROPORTO                   |              |"[321]"        |true                       |"{\"events\":[{\"id\":\"027fbc53-783b-4ef4-b4a5-2b731fb9cbed\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2024-10-15 22:54:35.547|"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#B4E200|0        |
|41 |SEGURANCA                   |              |"[321]"        |true                       |"{\"events\":[{\"id\":\"027fbc53-783b-4ef4-b4a5-2b731fb9cbed\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2024-10-23 09:19:12.161|"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#B4E200|0        |
|42 |SUSPEITOS                   |              |"[]"           |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-10-23 09:38:38.436|"{\"creator_id\":1,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#f51414|0        |
