|id     |plate_id |list_id|list_item_id|list_item_name|status|accepted_by|created_at             |
|-------|---------|-------|------------|--------------|------|-----------|-----------------------|
|276,984|2,205,771|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 00:34:35.022|
|276,985|2,205,772|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 00:34:38.163|
|276,986|2,205,773|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 00:34:38.466|
|276,987|2,205,779|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 00:54:45.915|
|276,988|2,205,783|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 01:03:16.487|
|276,989|2,205,787|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 01:10:41.215|
|276,990|2,205,890|90     |451         |FXE5207       |0     |1          |2025-11-25 06:04:00.155|
|276,991|2,205,899|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 06:06:39.783|
|276,992|2,205,922|90     |679         |BYX3717       |0     |1          |2025-11-25 06:15:22.614|
|276,993|2,206,002|88     |290         |FNK3A40       |0     |1          |2025-11-25 06:38:38.105|
|276,994|2,206,023|93     |836         |FSV3C66       |0     |1          |2025-11-25 06:44:29.469|
|276,995|2,206,060|93     |911         |EZJ7B82       |0     |1          |2025-11-25 06:48:51.571|
|276,996|2,206,064|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 06:49:11.466|
|276,997|2,206,088|90     |534         |FVV1661       |0     |1          |2025-11-25 06:51:15.833|
|276,998|2,206,113|93     |839         |FKZ5D31       |0     |1          |2025-11-25 06:52:57.509|
|276,999|2,206,115|93     |836         |FSV3C66       |0     |1          |2025-11-25 06:53:04.65 |
|277,000|2,206,143|90     |725         |EJD9135       |0     |1          |2025-11-25 06:55:28.858|
|277,001|2,206,164|88     |188         |DMG8811       |0     |1          |2025-11-25 06:57:05.569|
|277,002|2,206,204|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 06:59:59.126|
|277,003|2,206,226|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 07:01:05.425|
|277,004|2,206,273|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 07:04:41.124|
|277,005|2,206,325|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 07:07:27.454|
|277,006|2,206,381|90     |563         |FAZ5982       |0     |1          |2025-11-25 07:10:51.489|
|277,007|2,206,386|90     |427         |SVP3H94       |0     |1          |2025-11-25 07:10:57.976|
|277,008|2,206,452|90     |585         |FCD6007       |0     |1          |2025-11-25 07:14:47.786|
|277,009|2,206,509|93     |899         |SUU4F54       |0     |1          |2025-11-25 07:18:37.629|
|277,010|2,206,555|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 07:21:32.218|
|277,011|2,206,608|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 07:25:46.308|
|277,012|2,206,683|90     |513         |DII0F82       |0     |1          |2025-11-25 07:32:00.97 |
|277,013|2,206,772|90     |445         |GUP2101       |0     |1          |2025-11-25 07:40:17.61 |
|277,014|2,206,784|88     |186         |EZZ7F13       |0     |1          |2025-11-25 07:42:08.661|
|277,015|2,206,785|93     |836         |FSV3C66       |0     |1          |2025-11-25 07:42:08.835|
|277,016|2,206,835|93     |835         |EMC9H21       |0     |1          |2025-11-25 07:48:48.117|
|277,017|2,206,883|90     |543         |FYJ1548       |0     |1          |2025-11-25 07:54:17.43 |
|277,018|2,206,902|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 07:56:48.021|
|277,019|2,206,935|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 08:03:44.552|
|277,020|2,206,959|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 08:08:07.941|
|277,021|2,206,977|90     |566         |EUA5544       |0     |1          |2025-11-25 08:10:43.81 |
|277,022|2,207,044|90     |652         |ELF5C07       |0     |1          |2025-11-25 08:19:54.177|
|277,023|2,207,063|90     |470         |FKR0160       |0     |1          |2025-11-25 08:21:40.791|
|277,024|2,207,160|93     |834         |SWC6D93       |0     |1          |2025-11-25 08:34:59.988|
|277,025|2,207,196|93     |862         |GJC4G26       |0     |1          |2025-11-25 08:40:02.55 |
|277,026|2,207,235|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 08:43:52.299|
|277,027|2,207,363|93     |892         |FNK7C93       |0     |1          |2025-11-25 08:49:24.666|
|277,028|2,207,413|93     |912         |FGL1F04       |0     |1          |2025-11-25 08:53:30.012|
|277,029|2,207,419|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 08:54:12.817|
|277,030|2,207,421|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 08:54:25.57 |
|277,031|2,207,438|90     |694         |FIS0696       |0     |1          |2025-11-25 08:55:27.555|
|277,032|2,207,503|93     |912         |FGL1F04       |0     |1          |2025-11-25 09:02:02.39 |
|277,033|2,207,504|93     |912         |FGL1F04       |0     |1          |2025-11-25 09:02:03.557|
|277,034|2,207,505|93     |912         |FGL1F04       |0     |1          |2025-11-25 09:02:04.4  |
|277,035|2,207,582|[NULL] |[NULL]      |[NULL]        |1     |0          |2025-11-25 09:07:23.138|
