|id |name                           |comment                      |min_confidence|streams                      |send_internal_notifications|events_holder                                                                                           |status|created_at             |client_id|color  |time_attendance                                                       |enabled|list_permissions                                                                                                                                                                                               |
|---|-------------------------------|-----------------------------|--------------|-----------------------------|---------------------------|--------------------------------------------------------------------------------------------------------|------|-----------------------|---------|-------|----------------------------------------------------------------------|-------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|1  |Teste Musk                     |                             |80            |"[13]"                       |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-04-10 08:29:11.318|0        |#000000|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|2  |FAMOSOS                        |                             |70            |"[18]"                       |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-06-08 21:33:59.895|0        |#07c3e9|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|3  |FAMOSOS DA WEB                 |                             |70            |"[18]"                       |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-06-08 21:35:44.191|0        |#16b128|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|4  |Artistas                       |                             |80            |"[20]"                       |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-04-11 10:32:09.435|1        |#e0e407|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":2,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|5  |Administração                  |                             |65            |"[20]"                       |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-04-11 10:53:10.343|1        |#7df901|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":2,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|6  |SEMDEST                        |                             |1             |"[21,22,23]"                 |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2024-04-11 12:35:01.283|1        |#4202f2|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":2,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|7  |PROCURADOS ES                  |                             |70            |"[1,18,20,21,6,22,23,44]"    |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-04-22 17:54:08.056|0        |#e40c0c|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|8  |                               |                             |0             |"[]"                         |false                      |"{\"events\":[],\"notify_enabled\":false}"                                                              |0     |2025-12-23 14:35:49.384|0        |       |[NULL]                                                                |[NULL] |"{\"creator_id\":1,\"default_permissions\":{},\"role_permissions\":{},\"user_permissions\":{}}"                                                                                                                |
|9  |COLABORADORES                  |                             |98            |"[352,353,99,232,90,348]"    |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-12-06 12:24:27.968|3        |#0df853|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|10 |Procurados ES                  |                             |10            |"[892]"                      |true                       |"{\"events\":[{\"id\":\"a82d2ffb-36a1-484e-ac0b-3e73948ed1e7\",\"params\":{}}],\"notify_enabled\":true}"|1     |2025-09-23 20:36:45.888|0        |#de0d0d|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|40 |PROCURADOS                     |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-04-30 14:47:47.165|0        |#2f05ff|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|41 |Grupo Rocha                    |                             |80            |"[190]"                      |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-06-12 23:00:37.35 |42       |#11df14|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":45,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|42 |ASSALTANTES VITORIA ES         |                             |50            |"[224,227,228,200]"          |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-09-15 11:45:50.414|40       |#e60a0a|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":43,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|43 |Trontec                        |                             |80            |"[207]"                      |true                       |"{\"events\":[{\"id\":\"a1bc326f-f60e-4243-8c1a-8bcb2e11948f\",\"params\":{}}],\"notify_enabled\":true}"|1     |2024-07-12 21:01:29.539|45       |#ff0000|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":48,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|44 |Trontec 1                      |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2024-07-19 16:06:26.944|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
