|id     |face_id|status|accepted_by|created_at             |
|-------|-------|------|-----------|-----------------------|
|111,842|437,965|0     |1          |2025-11-25 00:10:44.133|
|111,843|437,983|0     |1          |2025-11-25 04:37:14.456|
|111,844|437,996|0     |11         |2025-11-25 05:52:44.894|
|111,845|437,997|0     |1          |2025-11-25 05:53:27.519|
|111,846|438,002|0     |11         |2025-11-25 06:01:09.394|
|111,847|438,003|0     |11         |2025-11-25 06:01:43.98 |
|111,848|438,004|0     |11         |2025-11-25 06:01:51.947|
|111,849|438,005|0     |11         |2025-11-25 06:02:13.833|
|111,850|438,006|0     |11         |2025-11-25 06:02:19.473|
|111,851|438,010|0     |11         |2025-11-25 06:04:41.436|
|111,852|438,032|0     |11         |2025-11-25 06:16:34.759|
|111,853|438,038|0     |1          |2025-11-25 06:20:54.102|
|111,854|438,039|0     |1          |2025-11-25 06:20:56.688|
|111,855|438,044|0     |11         |2025-11-25 06:27:48.995|
|111,856|438,049|0     |11         |2025-11-25 06:32:18.251|
|111,857|438,057|0     |11         |2025-11-25 06:38:34.836|
|111,858|438,061|0     |11         |2025-11-25 06:39:06.99 |
|111,859|438,081|0     |1          |2025-11-25 06:49:17.51 |
|111,860|438,083|0     |11         |2025-11-25 06:49:29.835|
|111,861|438,094|0     |11         |2025-11-25 06:51:45.714|
|111,862|438,126|0     |11         |2025-11-25 07:05:11.607|
|111,863|438,127|0     |11         |2025-11-25 07:05:15.971|
|111,864|438,151|0     |11         |2025-11-25 07:13:13.81 |
|111,865|438,153|0     |11         |2025-11-25 07:13:27.573|
|111,866|438,156|0     |11         |2025-11-25 07:13:39.023|
|111,867|438,158|0     |1          |2025-11-25 07:15:14.337|
|111,868|438,165|0     |11         |2025-11-25 07:17:16.65 |
|111,869|438,178|0     |11         |2025-11-25 07:22:32.033|
|111,870|438,198|0     |11         |2025-11-25 07:34:13.672|
|111,871|438,200|0     |11         |2025-11-25 07:35:33.356|
|111,872|438,210|0     |1          |2025-11-25 07:37:32.432|
|111,873|438,222|0     |11         |2025-11-25 07:38:39.716|
|111,874|438,231|0     |11         |2025-11-25 07:41:28.675|
|111,875|438,248|0     |11         |2025-11-25 07:44:19.566|
|111,876|438,260|0     |11         |2025-11-25 07:46:53.682|
|111,877|438,263|0     |11         |2025-11-25 07:47:06.618|
|111,878|438,284|0     |11         |2025-11-25 07:49:29.629|
|111,879|438,290|0     |11         |2025-11-25 07:51:40.143|
|111,880|438,293|0     |1          |2025-11-25 07:52:31.968|
|111,881|438,313|0     |11         |2025-11-25 07:57:04.768|
|111,882|438,325|0     |11         |2025-11-25 07:59:01.133|
|111,883|438,327|0     |11         |2025-11-25 07:59:33.445|
|111,884|438,328|0     |11         |2025-11-25 08:00:00.757|
|111,885|438,344|0     |11         |2025-11-25 08:02:43.669|
|111,886|438,347|0     |11         |2025-11-25 08:02:48.385|
|111,887|438,350|0     |11         |2025-11-25 08:02:58.88 |
|111,888|438,351|0     |11         |2025-11-25 08:03:12.135|
|111,889|438,352|0     |11         |2025-11-25 08:03:21.001|
|111,890|438,355|0     |11         |2025-11-25 08:04:04.28 |
|111,891|438,356|0     |11         |2025-11-25 08:04:33.484|
|111,892|438,357|0     |11         |2025-11-25 08:04:34.056|
|111,893|438,363|0     |11         |2025-11-25 08:05:16.369|
|111,894|438,365|0     |11         |2025-11-25 08:06:05.824|
|111,895|438,366|0     |11         |2025-11-25 08:06:11.186|
|111,896|438,367|0     |11         |2025-11-25 08:06:12.021|
