|id |notification_id|type|
|---|---------------|----|
|1  |1              |1   |
|2  |2              |1   |
|3  |3              |1   |
|4  |4              |1   |
|5  |5              |1   |
|6  |6              |1   |
|7  |7              |0   |
|8  |8              |1   |
|9  |9              |1   |
|10 |10             |1   |
|11 |11             |1   |
|12 |12             |1   |
|13 |13             |1   |
|14 |14             |1   |
|15 |15             |0   |
|16 |16             |1   |
|17 |17             |0   |
|33 |33             |1   |
|34 |34             |1   |
|35 |35             |1   |
|36 |36             |1   |
|37 |37             |1   |
|38 |38             |1   |
|39 |39             |1   |
|40 |40             |1   |
|41 |41             |1   |
|42 |42             |1   |
|43 |43             |1   |
|44 |44             |1   |
|45 |45             |1   |
|46 |46             |1   |
|47 |47             |1   |
|48 |48             |1   |
|49 |49             |1   |
|50 |50             |1   |
|51 |51             |1   |
|52 |52             |1   |
|53 |53             |1   |
|54 |54             |1   |
|55 |55             |1   |
|56 |56             |1   |
|57 |57             |1   |
|58 |58             |1   |
|59 |59             |1   |
|60 |60             |1   |
|61 |61             |1   |
|62 |62             |1   |
|63 |63             |0   |
|64 |64             |1   |
|65 |65             |1   |
|66 |66             |1   |
|67 |67             |0   |
|68 |68             |1   |
|69 |69             |1   |
|70 |70             |0   |
|71 |71             |1   |
|72 |72             |1   |
|73 |73             |0   |
|74 |74             |1   |
|75 |75             |0   |
|76 |76             |1   |
|77 |77             |0   |
|78 |78             |1   |
|79 |79             |0   |
|80 |80             |1   |
|81 |81             |0   |
|82 |82             |1   |
|83 |83             |0   |
|84 |84             |1   |
|85 |85             |0   |
|86 |86             |1   |
|87 |87             |0   |
|88 |88             |1   |
|89 |89             |0   |
|90 |90             |1   |
|91 |91             |0   |
|92 |92             |1   |
|93 |93             |0   |
|94 |94             |1   |
|95 |95             |0   |
|96 |96             |1   |
|97 |97             |0   |
|98 |98             |1   |
|99 |99             |0   |
|100|100            |1   |
|101|101            |0   |
|102|102            |1   |
|103|103            |0   |
|104|104            |1   |
|105|105            |0   |
|106|106            |1   |
|107|107            |0   |
|108|108            |1   |
|109|109            |0   |
|110|110            |1   |
|111|111            |0   |
|112|112            |1   |
|113|113            |0   |
|114|114            |1   |
|115|115            |0   |
|116|116            |1   |
|117|117            |0   |
|118|118            |1   |
|119|119            |0   |
|120|120            |1   |
|121|121            |0   |
|122|122            |1   |
|123|123            |0   |
|124|124            |1   |
|125|125            |0   |
|126|126            |1   |
|127|127            |0   |
|128|128            |1   |
|129|129            |0   |
|130|130            |1   |
|131|131            |0   |
|132|132            |1   |
|133|133            |1   |
|134|134            |0   |
|135|135            |1   |
|136|136            |0   |
|137|137            |1   |
|138|138            |0   |
|139|139            |1   |
|140|140            |0   |
|141|141            |1   |
|142|142            |0   |
|143|143            |1   |
|144|144            |0   |
|145|145            |1   |
|146|146            |0   |
|147|147            |1   |
|148|148            |0   |
|149|149            |1   |
|150|150            |0   |
|151|151            |1   |
|152|152            |0   |
|153|153            |1   |
|154|154            |0   |
|155|155            |1   |
|156|156            |0   |
|157|157            |1   |
|158|158            |0   |
|159|159            |1   |
|160|160            |0   |
|161|161            |1   |
|162|162            |0   |
|163|163            |1   |
|164|164            |1   |
|165|165            |0   |
|166|166            |1   |
|167|167            |0   |
|168|168            |1   |
|169|169            |0   |
|170|170            |1   |
|171|171            |0   |
|172|172            |1   |
|173|173            |0   |
|174|174            |1   |
|175|175            |0   |
|176|176            |1   |
|177|177            |0   |
|178|178            |1   |
|179|179            |0   |
|180|180            |1   |
|181|181            |0   |
|182|182            |1   |
|183|183            |0   |
|184|184            |1   |
|185|185            |0   |
|186|186            |1   |
|187|187            |0   |
|188|188            |1   |
|189|189            |0   |
|190|190            |1   |
|191|191            |0   |
|192|192            |1   |
|193|193            |0   |
|194|194            |1   |
|195|195            |0   |
|196|196            |1   |
|197|197            |0   |
|198|198            |1   |
|199|199            |0   |
