|id     |va_id|line|type|count|direction|created_at         |client_id|present|
|-------|-----|----|----|-----|---------|-------------------|---------|-------|
|232,264|806  |0   |0   |2    |2        |2025-11-25 00:15:00|6        |-2     |
|232,265|806  |0   |0   |1    |2        |2025-11-25 01:03:00|6        |-1     |
|232,266|806  |0   |0   |1    |1        |2025-11-25 02:18:00|6        |-1     |
|232,267|806  |0   |0   |2    |2        |2025-11-25 02:18:00|6        |-1     |
|232,268|806  |0   |0   |1    |2        |2025-11-25 05:06:00|6        |0      |
|232,269|806  |0   |0   |1    |1        |2025-11-25 05:09:00|6        |0      |
|232,270|806  |0   |0   |1    |2        |2025-11-25 06:09:00|6        |-2     |
|232,271|806  |0   |0   |1    |2        |2025-11-25 06:54:00|6        |-2     |
|232,272|806  |0   |0   |1    |1        |2025-11-25 07:51:00|6        |3      |
|232,273|806  |0   |0   |2    |1        |2025-11-25 07:57:00|6        |3      |
|232,274|806  |0   |0   |1    |2        |2025-11-25 08:00:00|6        |-3     |
|232,275|806  |0   |0   |1    |2        |2025-11-25 08:12:00|6        |-3     |
|232,276|806  |0   |0   |1    |1        |2025-11-25 08:33:00|6        |-3     |
|232,277|806  |0   |0   |1    |1        |2025-11-25 08:39:00|6        |-3     |
|232,278|806  |0   |0   |3    |2        |2025-11-25 08:39:00|6        |-3     |
|232,279|806  |0   |0   |1    |1        |2025-11-25 09:21:00|6        |-2     |
|232,280|806  |0   |0   |1    |1        |2025-11-25 09:24:00|6        |-2     |
|232,281|806  |0   |0   |3    |1        |2025-11-25 09:30:00|6        |-2     |
|232,282|806  |0   |0   |4    |2        |2025-11-25 09:30:00|6        |-2     |
|232,283|806  |0   |0   |1    |1        |2025-11-25 09:36:00|6        |-2     |
|232,284|682  |0   |0   |1    |2        |2025-11-25 09:42:00|6        |1      |
|232,285|682  |0   |0   |10   |1        |2025-11-25 09:45:00|6        |1      |
|232,286|682  |0   |0   |8    |2        |2025-11-25 09:45:00|6        |1      |
|232,287|806  |0   |0   |1    |1        |2025-11-25 09:45:00|6        |-2     |
|232,288|806  |0   |0   |5    |2        |2025-11-25 09:45:00|6        |-2     |
|232,289|806  |0   |0   |1    |2        |2025-11-25 10:09:00|6        |-1     |
|232,290|806  |0   |0   |14   |1        |2025-11-25 10:12:00|6        |-1     |
|232,291|806  |0   |0   |14   |2        |2025-11-25 10:12:00|6        |-1     |
|232,292|806  |0   |0   |3    |1        |2025-11-25 10:15:00|6        |-1     |
|232,293|806  |0   |0   |3    |2        |2025-11-25 10:15:00|6        |-1     |
|232,294|806  |0   |0   |1    |1        |2025-11-25 10:18:00|6        |-1     |
|232,295|806  |0   |0   |2    |2        |2025-11-25 10:18:00|6        |-1     |
|232,296|806  |0   |0   |3    |1        |2025-11-25 10:21:00|6        |-1     |
|232,297|806  |0   |0   |3    |2        |2025-11-25 10:21:00|6        |-1     |
|232,298|806  |0   |0   |1    |2        |2025-11-25 10:24:00|6        |-1     |
|232,299|806  |0   |0   |1    |1        |2025-11-25 10:27:00|6        |-1     |
|232,300|806  |0   |0   |1    |2        |2025-11-25 10:27:00|6        |-1     |
|232,301|806  |0   |0   |1    |1        |2025-11-25 10:30:00|6        |-1     |
|232,302|806  |0   |0   |1    |1        |2025-11-25 10:33:00|6        |-1     |
|232,303|806  |0   |0   |6    |1        |2025-11-25 10:36:00|6        |-1     |
|232,304|806  |0   |0   |6    |2        |2025-11-25 10:36:00|6        |-1     |
|232,305|806  |0   |0   |3    |1        |2025-11-25 10:39:00|6        |-1     |
|232,306|806  |0   |0   |1    |2        |2025-11-25 10:39:00|6        |-1     |
|232,307|806  |0   |0   |1    |1        |2025-11-25 10:42:00|6        |-1     |
|232,308|806  |0   |0   |2    |1        |2025-11-25 10:45:00|6        |-1     |
|232,309|806  |0   |0   |2    |2        |2025-11-25 10:45:00|6        |-1     |
